LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004886,E01004886 : Bolton 014C,6.26,25.69,7.87,19.58,50.48,95.65916399,13.34,2.08,13.02,0.48
E01004887,E01004887 : Bolton 014D,5.93,26.5,15.65,12.69,42.48,96.69421488,13.12,2.18,12.68,0.53
E01004868,E01004868 : Bolton 015A,9.22,24.07,3.18,74.72,52.67,82.50688705,12.36,1.99,11.98,0.21
E01004869,E01004869 : Bolton 015B,17.23,17.86,8.23,66.59,68.48,82.10399033,12.48,2.01,12.06,0.18
E01004870,E01004870 : Bolton 015C,15.28,24.45,3.83,36.2,58.65,83.86243386,12.62,2.06,12.15,0.32
E01004871,E01004871 : Bolton 015D,12.98,19.3,6.89,73.62,51.19,70.47244094,12.54,2.04,11.99,0.25
E01004922,E01004922 : Bolton 015E,6.42,27.85,14.27,49.83,48.7,90.93997735,12.44,2.03,12.03,0.34
E01004822,E01004822 : Bolton 016B,13.94,20.64,6.07,53.11,59.87,78.43137255,14.87,2.41,13.13,0.26
E01004823,E01004823 : Bolton 016C,13.57,17.46,5.13,43.64,78.49,86.26309662,14.12,2.26,12.81,0.34
E01004848,E01004848 : Bolton 016D,17.04,21.32,8.07,23.43,84.64,81.20204604,14.65,2.43,12.86,0.13
E01033217,E01033217 : Bolton 016E,23.79,28.53,1.23,3.85,89.63,93.98148148,14.76,2.33,12.82,0.16
E01033220,E01033220 : Bolton 016F,16.64,23,1.76,11.26,83,88.43537415,16.07,2.42,13.13,0.39
E01004818,E01004818 : Bolton 017A,12.89,24.74,4.1,49.19,72.45,84.83965015,15.75,2.44,13.11,0.28
E01004819,E01004819 : Bolton 017B,5.99,28.8,12.04,34.78,30.3,93.18936877,14.16,2.27,12.68,0.43
E01004928,E01004928 : Bolton 017C,8.26,22.89,2.48,80.47,52.19,94.73684211,16.41,2.32,12.93,0.26
E01004930,E01004930 : Bolton 017D,3.67,24.48,4.3,27.71,16.83,95.38950715,15.55,2.22,12.74,0.4
E01004931,E01004931 : Bolton 017E,8.66,19.65,2.82,48.59,50.74,94.76510067,15.67,2.26,12.92,0.38
