LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01032906,E01032906 : Salford 034E,7.56,57.82,0.79,10.19,79.02,94.01934916,19.06,2.45,13.96,0.17
E01032914,E01032914 : Salford 035A,7.45,61.42,0.78,4.79,80.23,92.495637,18.34,2.59,13.56,0.28
E01032912,E01032912 : Salford 035B,11.03,35.36,4.62,34.6,81.11,91.88911704,18.47,2.61,13.48,0.27
E01005667,E01005667 : Salford 035C,9.49,35.19,3.01,45.1,79.84,91.46459748,18.66,2.54,13.61,0.36
E01033993,E01033993 : Salford 036A,6.74,61.44,0.79,9.55,82.51,95.0617284,18.52,2.46,13.72,0.26
E01033994,E01033994 : Salford 036B,6.21,70.51,0.31,0.16,87.62,93.40659341,18.72,2.43,13.35,0.24
E01032915,E01032915 : Salford 036C,7.65,43.25,3.07,29.84,83.62,91.76346357,18.84,2.54,13.35,0.35
E01033995,E01033995 : Salford 037A,7.56,70.04,0.42,0.56,86.82,89.67921897,17.49,2.36,13.41,0.18
E01033996,E01033996 : Salford 037B,5.71,66.23,0,2.55,79.6,91.23055163,17.49,2.36,13.41,0.08
E01033997,E01033997 : Salford 037C,9,70.76,0.16,6.26,82.75,62.98076923,18.23,2.51,13.33,0.17
E01033998,E01033998 : Salford 037D,5.92,70.74,0.53,4.01,84.09,93.31550802,18.23,2.51,13.33,0.15
E01033999,E01033999 : Salford 037E,8.46,79.7,0.3,2.4,82.16,91.75412294,18.97,2.66,13.26,0.18
E01005098,E01005098 : Manchester 001A,7.94,19.71,2.59,24.51,71.06,91.66666667,16,2.01,13.44,0.55
E01005099,E01005099 : Manchester 001B,12.33,21.13,4.2,35.02,75.11,88.15028902,15.4,2.14,14.06,0.5
E01005100,E01005100 : Manchester 001C,7.41,24.57,29.22,22.37,42.77,94.3597561,16.02,2.09,13.43,0.53
E01005102,E01005102 : Manchester 001D,6.95,23.63,2.87,53.11,32.27,95.19230769,17,2.09,13.16,0.41
E01005103,E01005103 : Manchester 001E,8.59,18.96,3.48,28.34,63.14,90.94076655,16.38,2.09,13.46,0.55
E01005101,E01005101 : Manchester 002A,7.99,21.63,5.64,26,57.2,91.88445667,15.64,2.07,13.92,0.5
E01005135,E01005135 : Manchester 002B,8.29,27.99,4.86,16.26,60.49,90.6870229,15.52,2.07,13.75,0.48
E01005136,E01005136 : Manchester 002C,6.99,24.9,9.74,6.33,40.65,96.42857143,15.87,2.1,13.59,0.5
E01005138,E01005138 : Manchester 002D,11.17,34.18,8.94,31.53,66.23,90.46184739,15.76,2.12,13.16,0.57
E01034107,E01034107 : Manchester 002F,8.68,31.88,6.06,39.9,44.13,91.58249158,16.54,2.15,13.37,0.35
E01034108,E01034108 : Manchester 002G,7.69,34.86,24.14,19.19,42.59,93.40101523,16.11,2.13,13.25,0.48
E01005139,E01005139 : Manchester 003B,6.5,28.79,6.27,21.28,42.63,93.73368146,15.18,2.06,13.01,0.47
E01005141,E01005141 : Manchester 003C,10.22,23.15,2.64,18.62,74.59,88.03526448,15.76,2.12,13.16,0.54
E01005251,E01005251 : Manchester 003D,7.69,22.06,3.13,20.31,57.48,93.23899371,15.72,2.15,13.01,0.42
E01005252,E01005252 : Manchester 003E,8.41,22.37,3.4,22.35,53.78,93.07189542,15.92,2.13,13.12,0.44
E01033685,E01033685 : Manchester 003F,6.82,34.43,28.35,10.87,46.68,96.19651347,15.73,2.12,13.03,0.36
E01033687,E01033687 : Manchester 003G,10.93,25.71,4.57,7.05,76.54,97.24047306,15.76,2.12,13.06,0.48
E01005104,E01005104 : Manchester 004A,9.01,31.64,3.55,29.41,72.16,87.3015873,16.93,2.1,13.3,0.59
E01005160,E01005160 : Manchester 004B,7.95,33.66,8.69,1.28,40.71,91.03840683,16.49,2.05,13.6,0.48
E01005161,E01005161 : Manchester 004C,8.06,29.15,4.24,52.73,35.51,84.6737481,16.63,2.12,13.48,0.48
E01005162,E01005162 : Manchester 004D,8.08,29.32,7.04,3.98,47.71,90.99236641,16.63,2.09,13.48,0.51
E01005163,E01005163 : Manchester 004E,7.28,29.88,5.52,8.59,39.14,86.67687596,16.97,2.14,13.59,0.44
E01005247,E01005247 : Manchester 005A,4.88,25.68,3.85,38.84,23.43,96.46869984,15.55,2.16,12.98,0.37
E01005248,E01005248 : Manchester 005B,5.37,27.26,15.9,8.72,17.29,96.06164384,15.8,2.14,13.09,0.46
E01005249,E01005249 : Manchester 005C,6.13,30.01,17.37,28.21,43.03,93.5840708,16.26,2.15,13.16,0.4
E01005250,E01005250 : Manchester 005D,10.84,22.29,7.62,28.38,54.4,84.64566929,15.44,2.06,13.01,0.43
E01005253,E01005253 : Manchester 005E,9.75,20.85,1.59,19.59,54.52,92.22222222,15.6,2.15,13.01,0.45
E01005254,E01005254 : Manchester 005F,5.29,26.5,6.39,42.05,25.89,96.73295455,15.75,2.24,13.01,0.36
E01005164,E01005164 : Manchester 006A,11.97,28,8.3,39.34,62.24,82.50319285,17.27,2.14,13.56,0.35
E01005205,E01005205 : Manchester 006B,12.5,24.01,4.35,45.08,78.35,87.64302059,16.96,2.15,13.33,0.39
E01005206,E01005206 : Manchester 006C,8.65,24.64,4.42,44.2,48.2,89.51724138,17.2,2.13,13.46,0.46
E01005207,E01005207 : Manchester 006D,12.69,25.58,6.27,55.5,60.08,88.33333333,16.74,2.15,13.21,0.29
E01005223,E01005223 : Manchester 007A,7.13,29.07,12.05,29.21,42.01,92.0661157,16.71,2.16,13.21,0.35
E01005224,E01005224 : Manchester 007B,13.71,31.41,10.3,45.97,64.87,84.73684211,16.83,2.15,13.2,0.3
E01005225,E01005225 : Manchester 007C,10.12,21.84,4.79,45.33,61.73,90.65420561,17.08,2.13,13.13,0.34
E01005226,E01005226 : Manchester 007D,10.63,25.15,7.56,58.35,60.2,87.12446352,16.83,2.15,13.2,0.21
E01005229,E01005229 : Manchester 007E,5.53,26.04,11.4,12.07,15.02,97.85478548,16.59,2.17,13.24,0.43
E01005145,E01005145 : Manchester 008A,13.38,28.65,7.49,41.86,58.99,78.70967742,19.07,2.27,13.63,0.29
E01005149,E01005149 : Manchester 008C,8.71,26.69,6.13,42.29,43.68,78.85375494,17.89,2.15,13.7,0.28
E01005165,E01005165 : Manchester 008D,13.65,28.59,4.3,15.84,76.98,75.16930023,17.43,2.15,13.65,0.42
E01005166,E01005166 : Manchester 008E,13.15,24.38,3.97,21.67,63.07,78.26704545,17.52,2.15,13.66,0.34
E01005167,E01005167 : Manchester 008F,11.38,29.55,6.03,32.54,59.68,82.6709062,17.27,2.14,13.56,0.36
E01034109,E01034109 : Manchester 008G,7.6,29.07,12.97,21.7,45.75,81.13207547,18.59,2.22,13.64,0.44
E01034110,E01034110 : Manchester 008H,9.06,30.59,8.44,41.36,56.82,82.43801653,18.99,2.3,13.63,0.39
E01005202,E01005202 : Manchester 009A,13.03,19.81,4.8,50.53,80.86,88.88888889,17.66,2.21,13.43,0.4
E01005203,E01005203 : Manchester 009B,15.5,26.8,6.19,35.63,85.2,87.47099768,18.41,2.27,13.49,0.5
E01005227,E01005227 : Manchester 009D,13.5,26.78,7.95,51.75,66.8,88.79892038,17.08,2.13,13.13,0.32
E01005228,E01005228 : Manchester 009E,10.14,27.52,7.39,43.67,75.48,88.12989922,17.86,2.22,13.34,0.5
E01033678,E01033678 : Manchester 009F,12.75,27.69,7.32,33.69,77.73,87.70864947,19.49,2.41,13.57,0.41
E01033679,E01033679 : Manchester 009G,12.57,24.28,6.02,30.64,85.71,91.01899827,20.96,2.51,14.29,0.5
E01005256,E01005256 : Manchester 011A,9.22,27.83,6.56,42.4,66.44,90.75309819,17.04,2.21,13.19,0.37
E01005257,E01005257 : Manchester 011B,9.41,24.79,4.6,36.15,74.81,88.58560794,18.12,2.28,13.34,0.25
E01005258,E01005258 : Manchester 011C,9.43,22.56,3.86,54.44,57.51,92.16944801,15.77,2.18,12.7,0.36
E01005259,E01005259 : Manchester 011D,11.25,18.65,3.96,57.52,74.5,91.24668435,16.69,2.23,12.92,0.35
E01005260,E01005260 : Manchester 011E,5.69,24.77,6.4,31.82,25.08,97.31543624,15.77,2.18,12.7,0.37
E01005093,E01005093 : Manchester 012A,13.2,23.45,7.04,26.25,67.55,82.23201175,16.82,2.22,13.11,0.35
E01005094,E01005094 : Manchester 012B,10.03,22.36,4.36,52.78,75.3,87.4811463,16.93,2.33,13.26,0.28
E01005097,E01005097 : Manchester 012C,12.58,24.58,6.31,19.23,76.39,86.44067797,17.08,2.23,13.13,0.47
E01005255,E01005255 : Manchester 012D,12.44,23.89,2.83,24.84,80.52,90.70967742,16.71,2.19,13.06,0.48
E01005261,E01005261 : Manchester 012E,8.91,24.59,3.86,24.22,70.92,86.9047619,16.93,2.22,13.07,0.45
E01005092,E01005092 : Manchester 015A,9.67,27.8,5.39,64.57,73.18,91.92307692,17.44,2.27,13.2,0.32
E01005105,E01005105 : Manchester 015C,9.22,44.11,8.49,36.43,62.12,93.26241135,18.53,2.28,13.43,0.32
E01005106,E01005106 : Manchester 015D,11.65,24.35,7.02,51.62,77.11,91.21245829,17.96,2.3,13.45,0.32
E01005107,E01005107 : Manchester 015E,12.44,24.34,4.3,38.31,75,85.23489933,17.66,2.3,13.41,0.37
E01033668,E01033668 : Manchester 015F,7.7,49.49,1.85,16.64,79.76,92.92929293,18.55,2.28,13.33,0.35
E01033669,E01033669 : Manchester 015G,9.71,23.94,4.04,45.81,77.43,92.28395062,18.55,2.28,13.33,0.36
E01005189,E01005189 : Manchester 017D,13.94,19.55,4.76,41.43,79.38,91.625,17.13,2.4,13.75,0.36
E01005190,E01005190 : Manchester 017E,9.24,22.99,4.9,50.43,62.41,88.82978723,17.12,2.41,13.52,0.26
E01034111,E01034111 : Manchester 017G,10.27,22.25,6.49,45.77,83.06,85.43165468,16.62,2.37,13.4,0.32
E01034112,E01034112 : Manchester 017H,10.01,28.14,10.5,43.11,59.32,89.35879945,17.12,2.41,13.55,0.26
E01034113,E01034113 : Manchester 017I,9.51,32.11,5.5,55.5,65.13,92.36234458,17.12,2.41,13.63,0.29
E01034114,E01034114 : Manchester 017J,7.99,35.34,2.74,46.85,36.03,89.28571429,16.38,2.38,13.37,0.28
E01005061,E01005061 : Manchester 018A,14.51,28.11,9.62,32.21,86.39,83.38414634,19.59,2.62,13.78,0.29
E01005063,E01005063 : Manchester 018C,11.22,37.07,5.11,54.65,75.46,88.72870249,19.59,2.62,13.88,0.3
E01005065,E01005065 : Manchester 018D,13,37.88,5.86,43.89,75.97,88.125,19.12,2.7,13.82,0.24
E01005066,E01005066 : Manchester 018E,19.32,43.63,4.53,18.7,83.69,89.34911243,17.86,2.54,14,0.29
E01034115,E01034115 : Manchester 018F,20.92,44,6.6,49.29,72.51,85.61320755,18.7,2.65,13.95,0.23
E01034116,E01034116 : Manchester 018G,10.23,50.9,4.09,48.56,69.4,89.90384615,20.37,2.86,13.85,0.28
E01005208,E01005208 : Manchester 019A,13.15,45.26,2.91,23.98,81.74,91.09900091,17,2.41,13.62,0.3
E01005210,E01005210 : Manchester 019C,36.91,23.67,5.37,21.48,90.36,85.49107143,17.86,2.54,13.62,0.27
E01005214,E01005214 : Manchester 019D,9.91,54.62,5.28,25.41,71.33,90.14227642,18.29,2.49,13.23,0.34
E01034117,E01034117 : Manchester 019E,27.95,36.07,0.63,7.82,91.77,89.14893617,17,2.49,13.7,0.3
E01034118,E01034118 : Manchester 019F,16.7,35.98,3.94,29.98,90.35,83.77192982,17,2.41,13.62,0.4
E01005067,E01005067 : Manchester 020A,9.03,34.46,10.52,34.53,67.16,90.29850746,18.63,2.33,13.82,0.28
E01005186,E01005186 : Manchester 020B,10.41,30.94,6.76,33.33,62.38,88.11787072,17.78,2.34,13.72,0.39
E01005232,E01005232 : Manchester 020C,10.98,28.43,10.04,24.19,61.76,81.92090395,17.75,2.29,13.71,0.32
E01005235,E01005235 : Manchester 020D,13.48,23.46,4.31,33.06,70.77,85.67454798,17.68,2.35,13.69,0.32
E01005239,E01005239 : Manchester 020E,14.65,24.68,5.25,50.64,77.28,84.10174881,18.31,2.46,13.8,0.35
E01005187,E01005187 : Manchester 021A,11.31,24.26,5.52,62.18,69.5,87.21624851,17.12,2.41,13.37,0.2
E01005188,E01005188 : Manchester 021B,6.66,22.35,6.58,27.16,40.88,91.35802469,16.38,2.38,13.34,0.36
E01005191,E01005191 : Manchester 021C,12.94,23.05,3.52,67.21,68.98,91.44654088,17.13,2.41,13.6,0.22
E01005192,E01005192 : Manchester 021D,8.19,27.31,7.79,34.85,42.94,92.35294118,16.45,2.37,13.44,0.36
E01005193,E01005193 : Manchester 021E,11.42,25.79,5.73,64.88,54.09,94.27148194,15.49,2.32,13.32,0.22
E01005230,E01005230 : Manchester 022B,15.64,35.2,3.15,20.34,78.61,80.76416337,16.37,2.41,13.74,0.34
E01005231,E01005231 : Manchester 022C,24.78,37.01,1.87,27.59,88.7,71.63323782,16.37,2.41,13.74,0.42
E01005236,E01005236 : Manchester 022D,16.46,31.81,2.72,50.14,77.51,78.47919656,16.37,2.41,13.74,0.25
E01005237,E01005237 : Manchester 022E,11.57,25.87,5.49,32.95,48.28,76,15.81,2.19,13.37,0.2
E01034119,E01034119 : Manchester 022H,22.17,29.42,4.2,33.9,88.24,80,17.65,2.48,13.75,0.31
E01005195,E01005195 : Manchester 023A,11.32,28.1,6.39,20.55,70.89,89.96579247,16.71,2.28,13.43,0.42
E01005197,E01005197 : Manchester 023C,15.67,22.31,2.96,49.08,69.07,90.08498584,16.59,2.38,13.6,0.35
E01005198,E01005198 : Manchester 023D,10.81,23.38,7.05,9.03,74.05,84.95077356,17.69,2.35,13.56,0.47
E01005201,E01005201 : Manchester 023E,16.17,26.81,7.12,58.02,81.38,84.22391858,17.68,2.35,13.69,0.22
E01034120,E01034120 : Manchester 023F,12.37,26.58,4.71,12.12,75.46,87.68971332,16.32,2.36,13.54,0.43
E01034121,E01034121 : Manchester 023G,9.73,40.93,9.82,18.97,60.44,87.75055679,15.57,2.26,13.2,0.41
E01005243,E01005243 : Manchester 024B,13.06,36.17,4.37,33.22,84.5,83.46456693,15.96,2.22,13.23,0.38
E01005245,E01005245 : Manchester 024C,15.92,29.35,9.38,46.04,87.24,81.58168574,16.13,2.27,13.62,0.41
E01005246,E01005246 : Manchester 024D,16.13,22.22,8.32,63.41,82.14,76.65782493,16.13,2.27,13.62,0.22
E01034122,E01034122 : Manchester 024E,12.7,34.03,10.83,60.51,77.83,80.25477707,16.13,2.27,13.47,0.18
E01034123,E01034123 : Manchester 024F,12.05,32.1,7.72,56.69,71.47,84.59119497,15.76,2.23,13.4,0.2
E01005244,E01005244 : Manchester 025C,24.62,30.75,6.26,59.26,82.16,84.15233415,16.57,2.47,13.74,0.24
E01005285,E01005285 : Manchester 025D,14.31,27.82,8.38,46.39,82.71,76.71232877,16.16,2.35,13.39,0.35
E01005288,E01005288 : Manchester 025E,18.15,32.72,5.6,56.19,79.59,80.67846608,16.16,2.35,13.39,0.26
E01034124,E01034124 : Manchester 025F,17.92,32.99,7.31,66.13,84.23,83.69175627,16.13,2.27,13.62,0.21
E01034125,E01034125 : Manchester 025G,14.31,33.59,7.8,71.14,86.31,77.87934186,16.13,2.27,13.4,0.17
E01034126,E01034126 : Manchester 025H,11.47,48.46,7.43,68.32,49.83,90.59405941,16.13,2.27,13.4,0.2
E01034127,E01034127 : Manchester 025I,11.2,46.68,3.73,78.47,54.59,93.03904924,16.13,2.27,13.17,0.27
E01005280,E01005280 : Manchester 026A,13.83,27.02,5.57,11.69,51.67,78.99628253,15.89,2.22,13.11,0.44
E01005281,E01005281 : Manchester 026B,27.28,19.69,3.59,4.16,76.37,86.5530303,15.66,2.19,13.21,0.52
E01005284,E01005284 : Manchester 026C,22.43,32.18,5.21,10.57,84.25,84.70948012,16.57,2.47,13.74,0.46
E01005286,E01005286 : Manchester 026D,13.42,41.21,3.01,29.23,73.37,80.23560209,16,2.31,13.37,0.41
E01005287,E01005287 : Manchester 026E,12.71,27.3,2.76,9.8,66.82,79.05198777,15.81,2.19,13.37,0.4
E01005297,E01005297 : Manchester 028A,9.34,50.05,5.49,17,51.43,89.12354805,15.31,2.13,12.96,0.48
E01005298,E01005298 : Manchester 028B,7.61,50.14,4.17,48.48,43.27,90.03215434,15.64,2.15,12.85,0.35
E01005302,E01005302 : Manchester 028C,7.13,55.57,1.69,4.38,72.54,87.76119403,15.64,2.15,12.85,0.57
E01033680,E01033680 : Manchester 028E,7.9,54.83,2.82,6.68,77.15,86.07407407,15.51,2.17,13.13,0.59
E01033686,E01033686 : Manchester 028F,6.95,53.05,3.4,13.58,65.02,89.9691358,15.51,2.17,13.13,0.55
E01005150,E01005150 : Manchester 029A,5.55,67.03,1.9,15.44,72.6,90.23809524,16.26,2.01,12.16,0.29
E01005151,E01005151 : Manchester 029B,5.63,59.45,3.56,6.55,50,89.91477273,16.82,1.98,12.76,0.54
E01005152,E01005152 : Manchester 029C,2.93,70.59,1.53,32.54,18.47,97.44897959,16.28,2.02,13.14,0.42
E01005159,E01005159 : Manchester 029D,3.33,67.06,3.51,40.41,32.6,97.80058651,15.18,2.07,12.58,0.39
E01005296,E01005296 : Manchester 029E,6.53,56.61,4.3,0.16,32.65,92.36883943,15.42,1.99,12.23,0.43
E01005299,E01005299 : Manchester 029F,5.69,47.84,3.67,18.53,23.16,92.6199262,15.33,2.1,12.73,0.39
E01005178,E01005178 : Manchester 030A,11.18,40.29,2.84,40.73,60.13,89.03924222,15.39,2.18,13.17,0.38
E01005179,E01005179 : Manchester 030B,8.01,54.47,3.7,11.33,57.64,90.76086957,14.65,2.09,13.17,0.51
E01005180,E01005180 : Manchester 030C,8.47,29.37,1.97,14.15,65.53,90.0131406,15.98,2.16,12.95,0.49
E01005181,E01005181 : Manchester 030D,6.42,45.75,14.26,14.41,45.41,91.5451895,14.38,2.01,12.56,0.49
E01005182,E01005182 : Manchester 030E,14.69,31.72,14.04,16.6,63.27,88.77118644,15.39,2.18,13.17,0.47
E01005183,E01005183 : Manchester 030F,11,27.08,2.64,16.74,61.02,90.41731066,15.51,2.12,12.97,0.49
E01005219,E01005219 : Manchester 031A,12.63,43.54,3.9,24.95,62.31,84.95670996,16.26,2.24,13.23,0.33
E01005220,E01005220 : Manchester 031B,6.31,39.4,4.55,69.08,47.79,87.11409396,15.72,2.2,13.3,0.26
E01005221,E01005221 : Manchester 031C,8.83,38.91,3.33,53.56,51.72,84.40366972,16.05,2.19,13.07,0.22
E01005222,E01005222 : Manchester 031D,7.78,39.81,2.97,61.32,56.75,91.10867179,15.59,2.21,13.11,0.26
E01005184,E01005184 : Manchester 032A,15.22,37.09,6.84,26.71,73.49,82.64781491,16.1,2.12,12.88,0.45
E01005185,E01005185 : Manchester 032B,28.85,17.44,1.76,47.27,91.39,71.62426614,15.91,2.1,12.8,0.4
E01005271,E01005271 : Manchester 032C,21.34,33.09,2.58,17.58,81.94,67.26094003,16.46,2.01,12.73,0.38
E01034128,E01034128 : Manchester 032F,20.42,25.84,2.81,42.86,58.16,82.65765766,15.71,2.14,12.84,0.37
E01005154,E01005154 : Manchester 033A,5.52,70.73,2.9,11.91,52.37,91.46341463,15.41,1.95,12.02,0.3
E01005156,E01005156 : Manchester 033B,2.55,70.2,1.44,48.8,28.37,95.66613162,15.52,1.89,11.74,0.44
E01005158,E01005158 : Manchester 033C,5.26,53.68,2.15,20.8,52.01,94.9784792,15.91,1.89,12.36,0.49
E01005300,E01005300 : Manchester 033D,6.56,47.48,8.75,1.46,19.38,95.625,14.65,2.04,12.64,0.43
E01005301,E01005301 : Manchester 033E,4.42,62.22,7.98,0.17,29.98,91.45299145,14.78,2.01,12.4,0.48
E01005118,E01005118 : Manchester 034A,9.49,31.99,2.31,8.61,38.95,91.13924051,15.13,2.14,12.62,0.34
E01005120,E01005120 : Manchester 034B,8.56,34.59,5.42,20.03,42.47,92.1686747,15.11,2.11,12.61,0.44
E01005215,E01005215 : Manchester 034C,11.1,36.2,1.38,22.96,43.65,87.07015131,15.44,2.24,12.78,0.34
E01005216,E01005216 : Manchester 034D,7.74,52.7,2.48,36.69,27.27,96.69966997,15.3,2.13,12.73,0.37
E01005217,E01005217 : Manchester 034E,5.33,42.63,6.88,7.59,20.09,93.56223176,15.3,2.13,12.73,0.36
E01005218,E01005218 : Manchester 034F,11.47,39.26,4.77,15.58,49.6,89.68253968,15.78,2.18,12.98,0.34
E01005270,E01005270 : Manchester 035A,9.19,33.67,3.49,25,64.29,91.26637555,16.46,2.01,12.78,0.54
E01005272,E01005272 : Manchester 035B,10.16,30.79,2.22,25.77,69.94,91.4919852,15.63,2.05,12.78,0.5
E01005273,E01005273 : Manchester 035C,15.67,36.75,2.02,42.5,74.54,81.11298482,16.46,2.01,12.73,0.39
E01005278,E01005278 : Manchester 035D,11.15,30.48,2.6,2.6,49.16,88.24626866,16.46,2.01,12.73,0.42
E01005279,E01005279 : Manchester 035E,8.3,40.84,5.25,20.51,59.05,92.89215686,14.98,1.98,12.43,0.56
E01005305,E01005305 : Manchester 036A,9.37,51.83,3.92,4.1,32.03,94.88054608,15.8,2.08,12.62,0.4
E01005309,E01005309 : Manchester 036B,16.05,38.99,3.15,4.73,82.42,76.78571429,16.46,2.01,12.68,0.49
E01005310,E01005310 : Manchester 036C,17.31,21.51,3.59,51.11,82.79,80.17094017,15.8,2.08,12.68,0.39
E01005311,E01005311 : Manchester 036D,14.26,42.65,2.12,31.32,53.56,89.6969697,15.8,2.08,12.62,0.3
E01005312,E01005312 : Manchester 036E,24.66,23.65,3.89,37.69,85.2,73.8317757,15.8,2.08,12.68,0.34
E01005082,E01005082 : Manchester 037A,5.82,43.54,4.27,20.16,53.05,95.07978723,15.96,1.87,13.05,0.53
E01005153,E01005153 : Manchester 037B,3.28,62.8,2.04,58.67,47.19,95.15306122,17.35,1.94,11.74,0.39
E01005155,E01005155 : Manchester 037C,1.95,69.97,2.4,55.26,27.01,97.00149925,17.35,1.94,12.38,0.44
E01005157,E01005157 : Manchester 037D,3.51,69.08,5.85,9.53,12.52,99.33110368,17.35,1.94,12.81,0.55
E01005274,E01005274 : Manchester 038A,7.88,44.35,3.88,27.3,60.11,91.67862267,15.9,2.04,12.78,0.45
E01005275,E01005275 : Manchester 038B,7.56,67.47,3.35,18.73,65.5,82.71144279,16.46,2.01,12.78,0.44
E01005276,E01005276 : Manchester 038C,7.6,64.72,1.79,22.64,57.79,89.43089431,16.46,2.01,12.78,0.52
E01005277,E01005277 : Manchester 038D,3.99,76.04,7.29,4.09,49.94,89.93630573,15.56,1.91,12.6,0.49
E01005076,E01005076 : Manchester 039A,4.27,73.55,1.62,8.12,68.24,91.19241192,15.99,1.95,12.93,0.49
E01005081,E01005081 : Manchester 039C,8.93,38.55,3.49,31.4,68.82,92.10866753,14.64,1.97,12.57,0.51
E01005083,E01005083 : Manchester 039D,3.49,76.42,4.69,11.99,63.57,85.37095089,15.84,1.93,12.99,0.45
E01033670,E01033670 : Manchester 039E,1.36,83.49,2.31,6.55,51.09,98.33333333,15.03,1.96,12.88,0.32
E01033671,E01033671 : Manchester 039F,2.85,73.12,1.57,50.85,45.47,94.18886199,15.63,2.05,12.78,0.38
E01005125,E01005125 : Manchester 040A,8.01,38.91,1.95,28.9,51.3,91.36807818,15.86,1.91,12.56,0.48
E01005304,E01005304 : Manchester 040B,9.5,42.78,6.97,4.7,65.82,85.41353383,16.46,2.01,12.7,0.51
E01005306,E01005306 : Manchester 040C,5.95,73.63,8.4,1.93,37.26,95.28432732,15.56,1.91,12.58,0.45
E01005307,E01005307 : Manchester 040D,7.92,53.6,3.09,17.84,47.89,92.83707865,16.46,2.01,12.67,0.41
E01005308,E01005308 : Manchester 040E,7.2,40.4,3.89,12.97,51.05,93.52750809,15.56,1.91,12.56,0.55
E01005119,E01005119 : Manchester 041A,7.81,26.12,3.28,10.9,55.97,90.73243647,15.8,2.02,12.56,0.48
E01005121,E01005121 : Manchester 041B,9.29,24.69,2.49,16.75,60.63,90.39735099,15.8,2.08,12.56,0.47
E01005122,E01005122 : Manchester 041C,7.89,29.27,1.39,10.37,49.3,89.95363215,15.1,2.1,12.59,0.49
E01005123,E01005123 : Manchester 041D,8.57,29.17,2.46,21.97,66.61,91.63934426,15.68,1.97,12.56,0.49
E01005124,E01005124 : Manchester 041E,10.86,30.34,3.42,15.9,64.08,90.63893016,15.8,2.02,12.56,0.47
E01005077,E01005077 : Manchester 042A,10.17,35.5,2.07,24.08,67.83,88.53503185,15.97,1.85,13.28,0.51
E01005078,E01005078 : Manchester 042B,4.33,67.76,7.1,3.73,61.9,91.81708785,16.58,1.89,13.43,0.61
E01005079,E01005079 : Manchester 042C,5.35,50.98,12.48,12.95,34.86,95.90551181,15.85,1.91,13.18,0.57
E01005084,E01005084 : Manchester 042D,4.94,48.54,2.57,25.55,46.67,95.69266589,15.59,1.91,13.02,0.53
E01005172,E01005172 : Manchester 043A,4,67.81,11.19,7.67,51.26,88.69346734,15.56,1.91,12.6,0.54
E01005173,E01005173 : Manchester 043B,2.52,70.63,20.08,21.47,34.99,94.4598338,16.69,1.91,13.35,0.59
E01005174,E01005174 : Manchester 043C,3.39,72.63,14.01,7.73,20.68,98.37925446,14.66,1.81,12.49,0.47
E01005175,E01005175 : Manchester 043D,4.42,61.37,1.46,14.31,37.48,95.46120059,16.05,1.83,13.01,0.43
E01005176,E01005176 : Manchester 043E,3.58,71.76,2.57,53.74,55.47,97.09821429,16.29,1.86,13.03,0.28
E01005177,E01005177 : Manchester 043F,3.52,63.24,4.35,17.1,32.9,98.86731392,15.84,1.88,12.76,0.43
E01005115,E01005115 : Manchester 044A,6.97,34.21,12.39,29.5,46.93,94.78371501,14.75,1.94,11.93,0.52
E01005262,E01005262 : Manchester 044B,5.43,33.74,13.79,30.14,56.71,95.0877193,14.7,1.9,11.94,0.52
E01005264,E01005264 : Manchester 044C,8.78,25.46,6,35.66,55.36,93.83116883,14.69,1.89,12.15,0.53
E01005265,E01005265 : Manchester 044D,9.09,28.37,7.34,30.5,60.09,94.09221902,14.69,1.89,12.15,0.53
E01005266,E01005266 : Manchester 044E,7.82,29.54,3.36,36.85,57.31,93.27731092,14.89,1.88,12.42,0.51
E01005126,E01005126 : Manchester 045A,5.7,50.68,3.24,6.48,30.47,97.26027397,16.65,1.87,13.05,0.37
E01005168,E01005168 : Manchester 045B,3.03,57.63,4.39,2.67,16.44,99.04942966,16.83,1.88,13.23,0.41
E01005169,E01005169 : Manchester 045C,2.38,66.81,15.53,6.68,17.62,98.65771812,16.96,1.95,12.92,0.49
E01005170,E01005170 : Manchester 045D,5.38,53.62,7.43,1.21,21.76,98.09688581,16.47,2,13,0.41
E01005171,E01005171 : Manchester 045E,4.99,54.2,5.44,1.29,33.33,95.57142857,16.95,1.95,12.86,0.35
E01005263,E01005263 : Manchester 046A,7.35,33.55,10.97,22.07,58.66,89.90024938,16.66,2,13.37,0.49
E01005267,E01005267 : Manchester 046B,4.92,41.91,10.63,25.73,26.46,97.08141321,15.39,1.88,12.96,0.57
E01005268,E01005268 : Manchester 046C,4.14,50.14,4.47,31.01,34.14,96.3619403,16.23,1.93,13.47,0.37
E01005269,E01005269 : Manchester 046D,4.71,36.53,22.91,3.27,22.6,97.71986971,15.68,1.96,13.25,0.49
E01005069,E01005069 : Manchester 047A,6.54,29.16,1.83,40.31,27.74,96.03658537,12.94,1.84,11.49,0.37
E01005111,E01005111 : Manchester 047B,5.79,25.31,4.11,48.52,47.37,94.72817133,14.09,1.94,11.79,0.53
