LSOA21CD,2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01004981,E01004981 : Bury 004D,1470,673,513,192,71,21
E01004982,E01004982 : Bury 004E,1488,659,567,186,66,10
E01004961,E01004961 : Bury 005A,1451,669,483,218,69,12
E01004965,E01004965 : Bury 005B,1238,640,385,158,43,12
E01004966,E01004966 : Bury 005C,1819,817,648,244,79,31
E01004967,E01004967 : Bury 005D,1191,612,385,149,37,8
E01004963,E01004963 : Bury 006A,1479,634,545,214,65,21
E01004968,E01004968 : Bury 006B,1485,739,513,179,37,17
E01005050,E01005050 : Bury 006C,2125,1169,676,216,49,15
E01005052,E01005052 : Bury 006D,1446,706,501,170,54,15
E01005053,E01005053 : Bury 006E,1527,742,512,197,60,16
E01004954,E01004954 : Bury 007A,1450,613,543,217,58,19
E01004955,E01004955 : Bury 007B,1357,593,476,204,65,19
E01004956,E01004956 : Bury 007C,1774,793,566,257,120,38
E01004957,E01004957 : Bury 007D,1899,808,637,300,131,23
E01004960,E01004960 : Bury 007E,1670,708,555,256,118,33
E01004958,E01004958 : Bury 008A,1508,569,577,259,79,24
E01004959,E01004959 : Bury 008B,1734,707,656,240,95,36
E01004979,E01004979 : Bury 008C,1811,752,626,277,113,43
E01004980,E01004980 : Bury 008D,1455,622,501,245,73,14
E01005024,E01005024 : Bury 008E,2649,1261,893,338,123,34
E01005026,E01005026 : Bury 008F,2193,1087,765,232,82,27
E01004947,E01004947 : Bury 009A,1548,685,548,205,77,33
E01004948,E01004948 : Bury 009B,1870,766,653,303,118,30
E01004962,E01004962 : Bury 009C,2013,1039,705,206,51,12
E01004964,E01004964 : Bury 009D,1853,861,618,273,75,26
E01004949,E01004949 : Bury 010A,1413,778,419,174,36,6
E01004950,E01004950 : Bury 010B,1488,796,466,167,47,12
E01004951,E01004951 : Bury 010C,1563,692,570,227,63,11
E01004952,E01004952 : Bury 010D,1336,596,473,216,39,12
E01004953,E01004953 : Bury 010E,1533,818,433,206,53,23
E01005025,E01005025 : Bury 011A,1699,771,602,236,76,14
E01005027,E01005027 : Bury 011B,1863,813,645,309,72,24
E01005028,E01005028 : Bury 011C,2235,1010,735,302,132,56
E01005029,E01005029 : Bury 011D,1983,929,652,278,90,34
E01005000,E01005000 : Bury 012A,1471,701,509,192,55,14
E01005001,E01005001 : Bury 012B,1279,651,471,104,43,10
E01005005,E01005005 : Bury 012C,1409,691,528,145,33,12
E01005006,E01005006 : Bury 012D,2023,1089,573,246,84,31
E01005030,E01005030 : Bury 013A,1786,784,573,281,106,42
E01005054,E01005054 : Bury 013B,1571,765,515,199,67,25
E01005059,E01005059 : Bury 013C,1786,876,582,209,90,29
E01005060,E01005060 : Bury 013D,1734,808,610,234,64,18
E01004997,E01004997 : Bury 014A,1550,691,496,218,123,22
E01004998,E01004998 : Bury 014B,1655,727,589,254,69,16
E01004999,E01004999 : Bury 014C,1477,724,458,204,74,17
E01005002,E01005002 : Bury 014D,1507,627,577,209,81,13
E01005003,E01005003 : Bury 014E,1485,658,476,230,99,22
E01004991,E01004991 : Bury 015A,1382,634,491,196,51,10
E01004992,E01004992 : Bury 015B,1429,646,499,205,63,16
E01004993,E01004993 : Bury 015C,1989,1000,637,239,90,23
E01004994,E01004994 : Bury 015D,1383,605,496,201,61,20
E01004990,E01004990 : Bury 016A,1586,696,557,220,88,25
E01004996,E01004996 : Bury 016B,1511,586,508,268,111,38
E01005004,E01005004 : Bury 016C,1583,550,497,319,162,55
E01005008,E01005008 : Bury 016D,2171,942,707,352,137,33
E01005009,E01005009 : Bury 016E,1766,794,590,254,98,30
E01004945,E01004945 : Bury 017A,1537,725,522,217,53,20
E01005055,E01005055 : Bury 017B,1446,698,511,188,39,10
E01005056,E01005056 : Bury 017C,1272,586,416,199,50,21
E01005057,E01005057 : Bury 017D,1618,846,541,177,45,9
E01005058,E01005058 : Bury 017E,1348,705,444,154,28,17
E01004995,E01004995 : Bury 018A,1501,658,526,228,68,21
E01005010,E01005010 : Bury 018B,1606,809,530,180,75,12
E01005012,E01005012 : Bury 018C,1756,854,577,222,87,16
E01005013,E01005013 : Bury 018D,2621,1370,828,294,98,31
E01004984,E01004984 : Bury 019A,1392,710,458,172,45,7
E01004985,E01004985 : Bury 019B,1465,754,487,174,36,14
E01004989,E01004989 : Bury 019C,1419,729,455,180,42,13
E01005007,E01005007 : Bury 019D,1508,627,525,220,120,16
E01005011,E01005011 : Bury 019E,1431,787,452,146,35,11
E01004983,E01004983 : Bury 020A,1355,680,473,157,37,8
E01004986,E01004986 : Bury 020B,1627,745,532,235,91,24
E01004987,E01004987 : Bury 020C,1310,458,416,268,122,46
E01004988,E01004988 : Bury 020D,1387,615,478,213,70,11
E01004941,E01004941 : Bury 021A,1869,925,580,264,83,17
E01004942,E01004942 : Bury 021B,1700,792,557,236,97,18
E01004943,E01004943 : Bury 021C,1837,934,617,205,65,16
E01004944,E01004944 : Bury 021D,1517,733,563,176,34,11
E01004946,E01004946 : Bury 021E,1679,681,532,288,136,42
E01004969,E01004969 : Bury 022A,1509,621,535,249,75,29
E01004970,E01004970 : Bury 022B,1626,817,541,206,51,11
E01004971,E01004971 : Bury 022C,1478,764,464,185,55,10
E01005034,E01005034 : Bury 022D,1789,930,553,209,73,24
E01004972,E01004972 : Bury 023A,1494,638,520,229,86,21
E01004973,E01004973 : Bury 023B,1544,802,513,166,51,12
E01004975,E01004975 : Bury 023C,1498,737,476,192,72,21
E01005039,E01005039 : Bury 023D,1573,669,510,248,115,31
E01005045,E01005045 : Bury 023E,1620,751,555,229,63,22
E01004974,E01004974 : Bury 024A,1409,709,486,168,40,6
E01005033,E01005033 : Bury 024B,1674,1004,470,148,35,17
E01005036,E01005036 : Bury 024C,1982,861,661,323,102,35
E01005037,E01005037 : Bury 024D,1493,745,505,182,48,13
E01005031,E01005031 : Bury 025A,1531,737,482,221,67,24
E01005032,E01005032 : Bury 025B,1341,572,399,259,88,23
E01005035,E01005035 : Bury 025C,1455,727,485,172,59,12
E01005038,E01005038 : Bury 025D,1360,713,456,144,38,9
E01005040,E01005040 : Bury 026A,1845,940,591,221,76,17
E01005041,E01005041 : Bury 026B,1858,1112,507,176,52,11
E01005042,E01005042 : Bury 026C,1952,1197,498,191,49,17
E01005043,E01005043 : Bury 026D,1947,1354,420,132,33,8
E01005044,E01005044 : Bury 026E,1965,1321,443,144,47,10
E01005659,E01005659 : Salford 001A,1544,642,501,265,108,28
E01005660,E01005660 : Salford 001B,1823,807,560,292,121,43
E01005663,E01005663 : Salford 001C,1529,779,470,189,68,23
E01005664,E01005664 : Salford 001D,1708,819,530,226,102,31
E01005665,E01005665 : Salford 001E,2104,934,639,333,159,39
