LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004815,E01004815 : Bolton 022D,9.82,23.56,12.61,33.39,37.41,24.33,14.99,2.69,12.74,0.38
E01004817,E01004817 : Bolton 022E,10.18,29.85,10.74,15.19,67.49,45.72,15.17,2.50,13.04,0.16
E01004828,E01004828 : Bolton 023A,11.37,21.74,5.41,74.88,58.10,34.24,13.39,2.13,12.85,0.23
E01004829,E01004829 : Bolton 023B,10.13,22.60,8.54,75.83,56.85,35.00,13.34,2.18,12.59,0.17
E01004832,E01004832 : Bolton 023C,5.65,25.26,7.39,69.50,30.36,25.24,13.92,1.96,13.56,0.22
E01004854,E01004854 : Bolton 023D,11.01,20.93,6.70,77.32,44.49,28.33,13.34,2.18,12.59,0.13
E01004878,E01004878 : Bolton 023E,9.41,22.97,3.86,36.21,34.31,25.87,14.08,2.02,13.30,0.38
E01004911,E01004911 : Bolton 024A,7.22,17.24,6.48,31.17,46.95,30.94,14.81,2.03,13.00,0.35
E01004912,E01004912 : Bolton 024B,4.78,20.92,4.31,10.92,15.98,14.31,15.91,2.08,13.77,0.36
E01004913,E01004913 : Bolton 024C,4.71,23.62,16.22,13.54,28.35,17.24,14.02,1.99,12.25,0.41
E01004914,E01004914 : Bolton 024D,4.53,20.76,8.88,5.21,8.49,11.78,14.08,1.99,12.65,0.36
E01004915,E01004915 : Bolton 024E,2.40,22.62,9.25,2.08,8.11,10.02,15.91,2.08,13.77,0.39
E01004916,E01004916 : Bolton 024F,6.10,20.56,4.28,35.75,42.48,29.33,15.20,2.00,13.04,0.47
E01004918,E01004918 : Bolton 024G,2.01,24.54,11.94,6.07,6.84,8.75,14.00,1.94,12.22,0.37
E01004846,E01004846 : Bolton 025A,10.04,19.03,5.28,62.60,56.33,37.88,15.11,2.45,12.37,0.34
E01004847,E01004847 : Bolton 025B,11.30,20.36,7.53,42.86,58.06,28.22,14.23,2.31,12.48,0.39
E01004852,E01004852 : Bolton 025C,6.68,22.60,6.37,73.51,40.91,23.77,14.27,2.33,12.61,0.18
E01004877,E01004877 : Bolton 025D,16.02,19.33,3.13,19.82,72.28,38.47,14.52,2.09,13.24,0.46
E01004879,E01004879 : Bolton 025E,8.87,21.51,4.87,21.16,57.43,29.40,14.96,2.16,13.18,0.46
E01004830,E01004830 : Bolton 026A,8.29,18.38,4.66,54.73,55.85,38.63,13.92,1.96,13.56,0.22
E01004831,E01004831 : Bolton 026B,4.71,25.61,6.52,53.57,22.60,18.11,12.82,1.90,13.17,0.33
E01004833,E01004833 : Bolton 026C,5.72,26.94,27.53,26.44,17.86,13.66,12.87,1.91,12.78,0.44
E01004839,E01004839 : Bolton 026D,10.29,23.86,4.69,36.35,72.26,39.75,14.40,2.47,13.82,0.48
E01004814,E01004814 : Bolton 027A,6.67,23.72,9.04,35.64,39.86,22.75,15.79,2.47,13.81,0.39
E01004855,E01004855 : Bolton 027B,6.39,22.94,5.47,59.97,39.65,31.78,16.07,2.13,14.06,0.37
E01004856,E01004856 : Bolton 027C,9.32,20.07,3.62,60.79,53.23,38.11,15.33,2.20,13.44,0.37
E01004857,E01004857 : Bolton 027D,10.76,19.05,6.79,52.04,53.16,33.23,16.29,2.20,13.48,0.28
E01004891,E01004891 : Bolton 028A,3.28,26.91,17.57,14.32,20.89,16.73,11.51,2.12,12.12,0.43
E01004893,E01004893 : Bolton 028B,1.87,36.62,53.44,8.13,6.56,7.50,11.41,2.42,12.22,0.43
E01004894,E01004894 : Bolton 028C,4.88,32.97,18.82,36.59,28.99,20.05,11.59,2.45,12.27,0.36
E01004901,E01004901 : Bolton 028E,3.95,36.22,64.73,10.08,15.78,9.21,12.18,2.66,12.22,0.41
E01033218,E01033218 : Bolton 028F,3.94,38.26,25.79,34.65,27.23,6.81,12.17,2.62,13.21,0.41
E01033219,E01033219 : Bolton 028G,2.23,36.86,45.73,23.12,12.37,6.52,11.75,2.15,13.31,0.55
E01004816,E01004816 : Bolton 029A,5.66,28.53,7.02,18.39,28.93,17.53,15.03,2.31,13.82,0.43
E01004872,E01004872 : Bolton 029B,7.05,23.47,2.12,37.03,41.69,26.87,14.84,2.21,13.42,0.40
E01004873,E01004873 : Bolton 029C,7.67,20.85,1.29,6.63,46.60,22.73,14.84,2.21,13.42,0.41
E01004875,E01004875 : Bolton 029D,5.45,25.98,9.48,18.96,27.83,21.56,14.70,2.14,13.33,0.40
E01004880,E01004880 : Bolton 029E,4.02,27.00,20.28,0.40,15.82,10.87,14.70,2.14,13.33,0.36
E01004892,E01004892 : Bolton 030A,2.28,32.14,20.73,7.05,14.47,13.56,11.66,1.95,12.24,0.45
E01004896,E01004896 : Bolton 030B,4.01,37.13,67.95,1.83,5.13,8.24,11.58,1.88,12.01,0.53
E01004899,E01004899 : Bolton 030C,5.75,30.97,26.70,11.81,25.08,12.46,12.80,2.21,13.09,0.54
E01004900,E01004900 : Bolton 030D,4.68,38.18,32.80,23.79,26.81,10.59,13.44,2.15,13.33,0.41
E01004776,E01004776 : Bolton 031A,5.21,26.28,15.36,51.39,40.05,17.92,11.20,2.65,13.11,0.40
E01004895,E01004895 : Bolton 031B,6.48,21.64,13.43,31.51,38.54,27.36,11.02,2.29,12.23,0.47
E01004936,E01004936 : Bolton 031C,2.82,30.78,19.23,40.63,30.70,22.35,11.33,2.80,12.65,0.36
E01004938,E01004938 : Bolton 031D,9.23,18.63,2.38,20.79,64.33,37.48,10.97,2.50,12.23,0.53
E01004939,E01004939 : Bolton 031E,5.75,25.33,18.65,28.89,34.41,22.72,11.17,2.70,12.58,0.53
E01004858,E01004858 : Bolton 032A,8.09,21.48,9.94,37.68,52.53,34.17,15.74,2.15,13.62,0.37
E01004859,E01004859 : Bolton 032B,11.83,16.91,3.01,36.01,68.63,48.28,16.64,2.10,14.18,0.23
E01004860,E01004860 : Bolton 032C,5.58,19.02,3.51,44.36,37.74,30.54,16.64,2.10,13.81,0.29
E01004902,E01004902 : Bolton 032D,6.54,19.35,4.89,45.05,41.57,30.60,16.99,1.99,14.41,0.27
E01004906,E01004906 : Bolton 032E,6.70,19.60,8.31,44.16,54.33,39.08,17.84,2.07,14.61,0.35
E01004861,E01004861 : Bolton 033A,8.73,21.03,9.92,7.82,55.12,26.81,15.19,2.18,13.04,0.41
E01004862,E01004862 : Bolton 033B,9.11,17.13,7.99,9.35,63.50,38.03,15.64,2.13,13.32,0.41
E01004863,E01004863 : Bolton 033C,8.33,17.03,2.65,27.57,62.66,35.00,15.64,2.13,13.32,0.39
E01004874,E01004874 : Bolton 033D,4.36,21.45,5.43,30.02,34.89,21.63,12.80,2.01,13.25,0.43
E01004876,E01004876 : Bolton 033E,10.56,19.19,5.09,33.72,54.41,29.55,14.29,2.27,12.49,0.44
E01004903,E01004903 : Bolton 034A,3.84,26.96,29.51,25.69,15.63,8.68,18.81,1.97,13.85,0.40
E01004904,E01004904 : Bolton 034B,3.88,28.98,21.11,23.68,25.51,11.92,18.47,1.95,13.60,0.46
E01004905,E01004905 : Bolton 034C,7.21,21.18,4.46,38.93,38.31,28.08,18.53,1.98,14.47,0.40
E01004907,E01004907 : Bolton 034D,8.74,19.42,2.94,25.50,44.12,28.57,17.66,1.94,14.45,0.47
E01004908,E01004908 : Bolton 034E,5.69,21.42,12.19,7.89,16.46,18.67,17.29,1.93,13.99,0.39
E01004909,E01004909 : Bolton 034F,5.22,18.84,5.92,21.03,40.00,27.93,18.00,1.92,14.40,0.44
E01004910,E01004910 : Bolton 034G,4.76,26.38,7.30,23.42,39.72,15.39,17.09,2.04,14.03,0.45
E01004933,E01004933 : Bolton 035A,2.94,29.33,22.43,18.96,14.90,12.17,11.27,2.56,12.57,0.48
E01004934,E01004934 : Bolton 035B,5.00,36.33,57.04,10.47,29.06,11.73,11.27,2.56,12.57,0.56
E01004935,E01004935 : Bolton 035C,2.90,32.56,38.53,27.07,16.96,10.93,11.03,2.34,12.13,0.40
E01004937,E01004937 : Bolton 035D,3.86,34.97,69.28,21.60,10.75,6.57,11.27,2.77,12.87,0.48
E01004940,E01004940 : Bolton 035E,3.05,26.20,31.68,4.29,11.92,10.71,10.97,2.50,12.23,0.36
E01005014,E01005014 : Bury 001A,3.10,37.71,15.66,34.61,39.79,20.89,10.68,1.63,10.28,0.26
E01005015,E01005015 : Bury 001B,5.06,30.31,10.63,52.69,43.67,24.75,11.16,1.85,10.87,0.62
E01005016,E01005016 : Bury 001C,3.31,44.15,7.46,69.44,23.42,14.89,10.70,1.63,10.37,0.47
E01005017,E01005017 : Bury 001D,2.93,39.10,24.68,34.11,22.09,16.67,10.67,1.63,10.94,0.43
E01005018,E01005018 : Bury 001E,5.27,35.54,10.22,50.97,37.90,20.50,10.12,1.55,10.49,0.44
E01005021,E01005021 : Bury 001F,3.23,40.13,45.48,14.05,8.33,6.68,9.01,1.44,9.97,0.60
E01005019,E01005019 : Bury 002A,3.68,41.49,50.56,20.80,13.74,12.98,10.68,1.61,10.49,0.46
E01005023,E01005023 : Bury 002B,3.32,35.88,17.58,10.44,22.16,15.02,11.46,1.71,10.84,0.44
E01005046,E01005046 : Bury 002C,3.25,39.35,26.84,5.75,6.80,11.21,10.69,1.61,10.58,0.41
E01005048,E01005048 : Bury 002D,2.28,50.69,72.01,8.93,6.53,5.00,10.19,1.54,10.35,0.45
E01005020,E01005020 : Bury 003A,2.50,46.67,82.34,2.18,4.57,2.78,10.58,1.63,10.69,0.45
E01005022,E01005022 : Bury 003B,2.86,52.00,41.89,30.71,14.49,6.46,11.26,1.70,11.05,0.64
E01005047,E01005047 : Bury 003C,2.96,41.33,37.56,27.58,9.32,8.47,10.41,1.60,10.59,0.70
E01005049,E01005049 : Bury 003D,3.72,36.38,17.98,47.67,17.88,13.43,10.65,1.60,10.64,0.46
E01005051,E01005051 : Bury 003E,1.86,33.18,22.73,42.73,28.41,18.73,10.92,1.63,10.76,0.48
E01004976,E01004976 : Bury 004A,6.18,24.35,4.54,17.53,39.87,26.25,15.03,2.13,11.79,0.45
E01004977,E01004977 : Bury 004B,5.58,26.17,5.81,23.36,32.83,26.93,15.34,2.15,12.14,0.34
E01004978,E01004978 : Bury 004C,7.44,30.97,5.47,57.14,28.79,19.00,16.59,2.25,12.54,0.34
E01004981,E01004981 : Bury 004D,3.07,34.52,14.47,20.90,24.28,15.11,12.73,1.82,11.40,0.56
E01004982,E01004982 : Bury 004E,3.36,34.73,41.90,18.65,13.59,12.98,13.77,1.95,11.83,0.49
E01004961,E01004961 : Bury 005A,6.31,26.94,32.91,21.52,39.78,23.93,16.06,2.14,12.10,0.41
E01004965,E01004965 : Bury 005B,3.30,41.83,73.72,4.74,8.88,10.67,13.42,1.95,11.36,0.45
E01004966,E01004966 : Bury 005C,6.73,27.82,9.83,14.13,42.88,22.99,12.40,1.83,11.19,0.45
E01004967,E01004967 : Bury 005D,3.93,39.82,82.07,1.08,6.25,7.97,16.42,2.21,12.08,0.44
E01004963,E01004963 : Bury 006A,3.65,27.26,19.91,19.19,22.40,20.89,12.97,1.82,11.30,0.40
E01004968,E01004968 : Bury 006B,2.63,35.46,22.68,10.11,8.79,8.28,13.70,1.90,11.47,0.40
E01005050,E01005050 : Bury 006C,3.32,31.06,27.53,45.53,21.22,11.85,11.55,1.70,10.90,0.44
E01005052,E01005052 : Bury 006D,4.62,35.08,19.97,12.97,9.40,8.21,10.84,1.61,10.58,0.39
E01005053,E01005053 : Bury 006E,3.05,31.28,19.75,39.49,21.57,12.01,11.66,1.73,10.95,0.48
E01004954,E01004954 : Bury 007A,4.22,27.18,13.64,22.48,28.02,20.00,14.93,2.07,12.87,0.46
E01004955,E01004955 : Bury 007B,6.13,24.09,16.30,41.67,35.51,24.32,15.32,2.18,12.67,0.47
E01004956,E01004956 : Bury 007C,7.62,21.59,5.24,55.04,48.28,34.83,15.08,2.06,12.70,0.28
E01004957,E01004957 : Bury 007D,11.21,19.12,9.73,23.26,65.11,42.30,15.17,2.29,13.16,0.49
E01004960,E01004960 : Bury 007E,18.02,15.55,3.99,20.86,81.90,54.91,15.96,2.19,12.79,0.49
E01004958,E01004958 : Bury 008A,10.70,19.87,2.77,64.92,58.52,44.25,15.00,2.17,12.47,0.24
E01004959,E01004959 : Bury 008B,9.73,21.99,3.42,56.97,50.89,35.06,14.68,2.16,12.42,0.31
E01004979,E01004979 : Bury 008C,11.51,20.12,4.01,64.54,63.00,42.86,14.70,1.99,11.93,0.19
E01004980,E01004980 : Bury 008D,9.17,26.49,1.25,75.23,50.00,38.04,16.29,2.20,12.70,0.23
E01005024,E01005024 : Bury 008E,11.75,28.12,5.21,34.43,70.63,45.80,14.99,2.26,12.29,0.13
E01005026,E01005026 : Bury 008F,7.06,24.71,4.63,68.52,34.93,24.61,14.01,2.31,12.06,0.18
E01004947,E01004947 : Bury 009A,6.59,25.29,2.27,75.45,42.66,28.33,13.85,1.87,11.75,0.28
E01004948,E01004948 : Bury 009B,8.15,25.11,9.65,30.15,48.28,35.76,13.42,1.89,11.77,0.15
E01004962,E01004962 : Bury 009C,3.48,30.63,11.11,58.78,27.65,18.67,13.35,1.82,11.45,0.25
E01004964,E01004964 : Bury 009D,4.13,27.77,4.29,60.48,40.41,27.77,14.59,1.99,11.71,0.30
E01004949,E01004949 : Bury 010A,3.10,35.87,55.94,0.86,6.21,8.78,12.24,1.73,11.47,0.42
E01004950,E01004950 : Bury 010B,3.14,39.37,66.56,0.65,12.30,9.56,12.10,1.80,11.25,0.45
E01004951,E01004951 : Bury 010C,2.84,31.26,25.27,7.09,8.32,9.83,12.64,1.84,11.90,0.40
E01004952,E01004952 : Bury 010D,2.04,34.41,76.42,1.46,5.69,13.01,12.52,1.82,11.70,0.42
E01004953,E01004953 : Bury 010E,4.37,34.58,31.92,8.02,19.34,17.53,13.43,1.83,11.63,0.47
E01005025,E01005025 : Bury 011A,6.33,28.29,10.74,22.87,28.93,23.92,12.73,1.87,11.57,0.42
E01005027,E01005027 : Bury 011B,8.49,30.20,3.91,65.80,41.98,31.98,12.71,1.86,11.61,0.20
E01005028,E01005028 : Bury 011C,8.17,21.01,4.31,20.84,64.27,34.77,13.71,2.21,12.02,0.44
E01005029,E01005029 : Bury 011D,6.92,24.38,7.69,47.57,32.08,23.23,13.60,2.22,11.92,0.36
E01005000,E01005000 : Bury 012A,5.06,30.24,46.77,12.24,11.73,6.97,13.36,1.98,12.22,0.42
E01005001,E01005001 : Bury 012B,2.18,32.21,66.13,9.13,12.88,5.26,13.56,1.99,12.20,0.43
E01005005,E01005005 : Bury 012C,3.14,34.12,21.06,42.77,14.31,10.45,12.70,1.91,11.77,0.58
E01005006,E01005006 : Bury 012D,2.93,36.08,33.21,10.53,19.85,11.52,12.57,1.87,11.86,0.46
E01005030,E01005030 : Bury 013A,8.78,22.75,2.92,14.47,65.23,36.17,12.92,2.02,11.69,0.44
E01005054,E01005054 : Bury 013B,3.74,30.42,18.61,28.55,27.23,15.74,14.98,2.38,12.68,0.42
E01005059,E01005059 : Bury 013C,3.63,33.12,31.49,11.19,37.67,20.45,14.12,2.49,12.14,0.52
E01005060,E01005060 : Bury 013D,5.23,28.25,14.42,19.59,25.03,16.33,14.17,2.33,12.05,0.38
E01004997,E01004997 : Bury 014A,3.42,24.45,18.61,58.58,33.39,23.95,13.24,1.96,11.96,0.31
E01004998,E01004998 : Bury 014B,3.19,25.07,25.75,23.85,18.54,14.21,13.18,1.93,11.89,0.37
E01004999,E01004999 : Bury 014C,3.84,26.62,32.11,14.05,16.69,13.07,12.88,1.92,11.84,0.47
E01005002,E01005002 : Bury 014D,5.63,24.42,9.94,4.81,19.84,17.52,13.59,1.99,12.14,0.39
E01005003,E01005003 : Bury 014E,5.52,20.00,4.11,57.56,48.75,30.25,13.15,1.93,12.01,0.30
E01004991,E01004991 : Bury 015A,5.81,24.02,2.85,48.32,33.05,17.62,13.58,2.12,11.76,0.40
E01004992,E01004992 : Bury 015B,6.43,23.28,3.15,62.62,38.49,28.05,14.03,2.12,12.17,0.35
E01004993,E01004993 : Bury 015C,6.12,29.12,35.90,15.64,26.96,17.46,13.92,2.20,11.97,0.37
E01004994,E01004994 : Bury 015D,5.37,23.52,5.77,56.95,54.87,37.78,13.65,2.07,11.91,0.39
E01004990,E01004990 : Bury 016A,5.90,21.66,4.95,40.54,40.75,27.78,13.79,2.01,12.21,0.38
E01004996,E01004996 : Bury 016B,9.67,19.24,1.32,52.19,66.23,43.84,13.72,2.02,11.88,0.29
E01005004,E01005004 : Bury 016C,10.07,16.90,7.25,20.12,73.59,49.18,13.44,1.97,12.10,0.50
E01005008,E01005008 : Bury 016D,7.76,23.78,8.54,55.74,63.96,38.38,13.84,2.00,12.27,0.30
E01005009,E01005009 : Bury 016E,8.65,23.17,6.48,41.55,65.31,43.21,14.15,2.11,12.29,0.26
E01004945,E01004945 : Bury 017A,2.93,33.36,31.35,11.47,13.98,14.72,16.90,2.17,13.85,0.45
E01005055,E01005055 : Bury 017B,3.79,36.22,16.78,2.40,11.66,10.92,15.34,2.18,12.66,0.37
E01005056,E01005056 : Bury 017C,3.79,33.70,39.80,12.04,13.09,14.79,16.63,2.17,13.35,0.42
E01005057,E01005057 : Bury 017D,4.26,31.67,47.23,17.09,24.59,10.96,15.31,2.43,12.79,0.50
E01005058,E01005058 : Bury 017E,5.18,39.41,45.95,0.81,7.07,8.10,16.62,2.20,12.95,0.40
E01004995,E01004995 : Bury 018A,3.16,23.73,15.29,17.43,11.06,12.39,13.98,1.99,12.49,0.44
E01005010,E01005010 : Bury 018B,4.13,31.09,30.26,24.42,19.75,10.24,15.13,2.00,13.08,0.50
E01005012,E01005012 : Bury 018C,7.20,29.33,10.34,18.48,48.45,26.61,14.02,2.02,12.64,0.54
E01005013,E01005013 : Bury 018D,7.51,29.05,12.97,28.49,48.67,23.18,13.76,2.01,12.63,0.42
E01004984,E01004984 : Bury 019A,4.71,40.88,37.80,6.79,15.56,10.66,15.94,2.51,13.11,0.43
E01004985,E01004985 : Bury 019B,2.09,46.13,74.92,3.20,10.94,7.58,16.49,2.26,13.30,0.49
E01004989,E01004989 : Bury 019C,3.26,45.65,33.57,11.07,15.29,10.18,14.62,2.05,12.67,0.45
E01005007,E01005007 : Bury 019D,3.89,34.27,18.88,23.32,22.29,20.31,14.60,2.16,12.45,0.43
E01005011,E01005011 : Bury 019E,4.34,45.79,13.38,26.59,14.45,8.86,14.41,2.04,12.67,0.43
E01004983,E01004983 : Bury 020A,5.28,39.30,10.44,7.08,32.28,17.08,16.81,2.13,13.94,0.36
E01004986,E01004986 : Bury 020B,3.77,40.83,5.12,41.34,40.44,29.35,16.55,2.33,13.38,0.37
E01004987,E01004987 : Bury 020C,6.29,23.00,3.79,33.48,60.24,43.48,16.23,2.17,12.88,0.55
E01004988,E01004988 : Bury 020D,3.89,32.64,10.54,43.29,27.75,23.64,16.97,2.10,13.41,0.45
E01004941,E01004941 : Bury 021A,6.17,24.97,4.36,44.25,43.65,24.74,18.88,2.13,14.51,0.49
E01004942,E01004942 : Bury 021B,10.58,24.04,2.50,52.58,69.22,40.85,17.61,2.11,13.65,0.50
E01004943,E01004943 : Bury 021C,5.56,33.88,6.93,20.65,36.90,22.39,16.57,2.09,14.07,0.41
E01004944,E01004944 : Bury 021D,3.73,36.24,21.39,10.94,13.02,11.90,18.88,2.13,14.77,0.40
E01004946,E01004946 : Bury 021E,8.85,19.13,2.57,41.70,67.95,43.35,18.88,2.13,14.51,0.52
E01004969,E01004969 : Bury 022A,7.64,28.75,13.26,14.10,33.57,23.21,16.99,1.97,14.11,0.53
E01004970,E01004970 : Bury 022B,4.60,37.48,13.53,1.49,12.23,10.03,17.32,2.10,14.77,0.39
E01004971,E01004971 : Bury 022C,4.04,38.62,11.00,5.83,8.83,13.00,17.84,2.11,14.77,0.40
E01005034,E01005034 : Bury 022D,4.82,47.71,14.51,18.45,19.47,16.81,16.65,2.15,14.15,0.28
E01004972,E01004972 : Bury 023A,8.56,25.83,3.17,44.72,48.59,28.52,15.76,2.06,14.77,0.46
E01004973,E01004973 : Bury 023B,4.01,44.40,11.33,28.94,20.89,18.56,15.76,2.06,14.77,0.38
E01004975,E01004975 : Bury 023C,6.13,45.86,4.29,44.08,44.73,30.65,15.40,2.08,13.77,0.39
E01005039,E01005039 : Bury 023D,5.13,34.37,2.19,31.24,46.50,31.00,15.05,2.09,12.77,0.50
E01005045,E01005045 : Bury 023E,5.56,43.85,3.73,38.95,25.48,26.24,15.05,2.09,12.77,0.43
E01004974,E01004974 : Bury 024A,4.47,46.47,15.14,10.15,15.97,16.33,15.40,2.08,13.77,0.46
E01005033,E01005033 : Bury 024B,3.94,41.52,24.66,7.89,27.90,18.09,15.01,2.13,12.64,0.43
E01005036,E01005036 : Bury 024C,6.97,41.61,6.53,10.45,66.07,37.02,15.73,2.13,13.38,0.39
E01005037,E01005037 : Bury 024D,2.69,42.50,18.23,0.95,17.56,14.29,15.22,2.14,12.62,0.46
E01005031,E01005031 : Bury 025A,6.35,28.75,5.83,31.02,37.95,23.78,15.36,2.15,12.57,0.51
E01005032,E01005032 : Bury 025B,8.93,29.16,7.69,18.96,57.07,32.92,16.49,2.56,12.81,0.55
E01005035,E01005035 : Bury 025C,4.49,51.15,6.28,35.22,22.05,20.76,16.24,2.37,13.24,0.56
E01005038,E01005038 : Bury 025D,3.19,48.72,42.75,4.96,8.03,9.16,15.36,2.15,12.67,0.44
E01005040,E01005040 : Bury 026A,4.63,42.04,11.29,4.92,29.28,15.80,15.70,2.06,13.07,0.43
E01005041,E01005041 : Bury 026B,3.63,43.37,32.95,0.19,18.63,9.75,15.99,2.11,13.08,0.45
E01005042,E01005042 : Bury 026C,4.12,38.15,13.87,8.65,24.59,15.80,15.08,2.12,12.67,0.46
E01005043,E01005043 : Bury 026D,4.67,36.33,16.09,1.43,24.90,10.41,15.95,2.14,12.98,0.42
E01005044,E01005044 : Bury 026E,5.85,25.96,4.00,6.74,44.63,23.53,15.12,2.14,12.58,0.30
E01005659,E01005659 : Salford 001A,8.17,17.75,4.31,37.64,50.08,30.14,12.97,2.02,12.07,0.44
E01005660,E01005660 : Salford 001B,10.26,18.41,5.21,41.23,73.91,42.97,13.20,2.03,12.12,0.42
E01005663,E01005663 : Salford 001C,5.45,29.42,14.16,32.04,52.09,28.76,12.12,1.79,11.75,0.45
E01005664,E01005664 : Salford 001D,11.29,21.10,4.98,46.62,72.10,39.23,14.29,2.27,12.49,0.46
E01005665,E01005665 : Salford 001E,15.88,19.14,2.09,33.37,80.64,42.87,14.29,2.27,12.49,0.45
E01005703,E01005703 : Salford 002A,12.35,17.49,3.05,35.46,68.44,41.99,14.60,1.99,12.83,0.50
E01005704,E01005704 : Salford 002B,7.18,20.04,4.77,41.74,34.80,28.69,13.34,2.02,12.22,0.39
E01005706,E01005706 : Salford 002C,7.63,18.64,2.58,43.55,52.21,33.38,14.60,1.99,12.83,0.45
E01005708,E01005708 : Salford 002D,6.97,24.28,4.42,35.36,55.52,37.21,13.57,1.85,12.35,0.28
E01005702,E01005702 : Salford 003A,6.60,29.88,13.64,29.28,43.83,19.32,15.75,2.04,13.55,0.38
E01005707,E01005707 : Salford 003C,8.33,22.31,4.05,41.91,62.45,36.16,15.96,1.97,13.67,0.46
E01033976,E01033976 : Salford 003D,5.70,44.73,29.46,24.63,27.35,7.93,16.77,1.89,13.85,0.35
E01033977,E01033977 : Salford 003E,7.93,24.81,3.89,33.52,52.79,32.04,15.16,1.90,13.04,0.39
E01005661,E01005661 : Salford 004A,7.93,24.25,14.29,29.23,51.32,26.55,12.39,1.83,11.85,0.49
E01005662,E01005662 : Salford 004B,11.28,17.12,4.70,41.22,75.79,40.19,12.27,1.90,11.91,0.51
E01005709,E01005709 : Salford 004C,7.17,20.39,3.82,31.48,66.83,39.84,12.81,1.87,12.05,0.44
E01005710,E01005710 : Salford 004D,3.70,38.77,34.29,11.31,20.10,13.20,13.85,1.89,12.45,0.47
E01005670,E01005670 : Salford 005A,6.61,27.21,3.54,22.20,60.64,36.83,16.97,2.42,13.36,0.40
E01005672,E01005672 : Salford 005B,4.76,30.77,9.82,62.52,40.75,29.90,16.57,2.31,13.19,0.24
E01005676,E01005676 : Salford 005C,3.27,25.74,19.93,1.09,12.84,13.92,18.55,1.92,13.99,0.41
E01005677,E01005677 : Salford 005D,5.11,26.31,9.68,13.49,29.66,20.82,17.48,2.17,13.69,0.41
E01005686,E01005686 : Salford 006A,5.16,25.50,2.84,48.11,39.27,31.86,17.38,2.10,13.61,0.30
E01005688,E01005688 : Salford 006B,5.84,25.84,4.59,20.83,29.75,20.28,17.10,2.26,14.07,0.39
E01005691,E01005691 : Salford 006C,5.47,23.38,5.69,8.68,22.14,18.93,17.68,2.00,14.13,0.43
E01005692,E01005692 : Salford 006D,7.84,22.28,0.69,28.02,68.22,47.06,16.94,2.30,13.73,0.37
E01005711,E01005711 : Salford 007A,6.15,27.70,18.31,30.73,20.70,14.97,16.56,1.84,13.57,0.44
E01005712,E01005712 : Salford 007B,6.02,29.58,2.38,34.40,52.08,24.70,15.18,1.88,13.05,0.35
E01005713,E01005713 : Salford 007C,3.30,37.21,15.93,11.95,12.00,9.96,13.99,2.06,12.54,0.39
E01005714,E01005714 : Salford 007D,6.31,34.08,7.73,10.01,39.77,19.31,17.54,1.79,13.82,0.47
E01005715,E01005715 : Salford 007E,3.85,43.12,16.03,18.81,19.02,14.80,15.82,1.87,13.10,0.47
E01005718,E01005718 : Salford 007F,4.21,31.12,17.86,32.08,38.11,24.59,13.97,1.87,12.48,0.44
E01005673,E01005673 : Salford 008A,4.28,29.41,9.08,31.01,38.39,21.09,17.17,2.59,13.19,0.43
E01005678,E01005678 : Salford 008C,7.88,22.34,2.63,26.74,56.55,33.54,16.10,2.38,13.01,0.45
E01005679,E01005679 : Salford 008D,8.21,21.59,4.85,13.64,65.86,38.37,16.61,2.39,13.05,0.46
E01033978,E01033978 : Salford 008E,6.20,39.79,32.51,19.46,32.27,11.82,17.11,2.67,13.11,0.43
E01033979,E01033979 : Salford 008F,15.91,24.55,30.98,26.71,29.70,17.74,17.49,2.63,13.16,0.36
E01005687,E01005687 : Salford 009A,4.25,27.97,11.43,43.24,38.05,25.37,17.44,1.98,13.72,0.34
E01005689,E01005689 : Salford 009B,11.39,25.42,3.04,16.89,65.34,37.76,16.96,2.08,13.44,0.46
E01005690,E01005690 : Salford 009C,5.28,28.95,6.80,30.82,29.19,23.30,16.28,2.11,13.23,0.34
E01005693,E01005693 : Salford 009D,3.96,27.44,3.16,59.97,23.02,19.37,17.38,2.10,13.66,0.32
E01005646,E01005646 : Salford 010A,3.07,24.57,22.14,5.99,49.55,31.22,17.24,2.20,13.48,0.51
E01005649,E01005649 : Salford 010B,3.55,34.78,15.33,8.82,46.83,25.74,16.79,2.20,13.26,0.58
E01005650,E01005650 : Salford 010C,9.13,22.57,11.06,19.91,68.35,47.71,17.89,2.32,13.53,0.51
E01005651,E01005651 : Salford 010D,6.41,19.75,18.95,13.00,54.51,34.72,17.29,2.23,13.43,0.42
E01005647,E01005647 : Salford 011A,5.82,34.82,9.00,3.38,48.72,29.86,15.64,2.20,12.77,0.59
E01005648,E01005648 : Salford 011B,5.86,42.37,21.74,11.85,42.09,23.05,16.83,2.47,13.09,0.54
E01005652,E01005652 : Salford 011C,7.04,25.98,9.68,25.35,45.87,27.11,18.11,3.25,13.04,0.47
E01005653,E01005653 : Salford 011D,10.09,26.41,5.40,45.03,70.99,45.70,18.49,2.94,13.41,0.47
