LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01034137,E01034137 : Manchester 063C,13.57,24.51,10.12,50.40,60.77,32.73,17.43,2.28,13.35,0.23
E01005238,E01005238 : Manchester 063D,9.81,25.94,4.65,53.36,51.89,28.69,16.62,2.23,13.36,0.26
E01005200,E01005200 : Manchester 064A,9.07,38.05,2.08,52.18,48.49,32.74,16.28,2.25,13.25,0.32
E01034138,E01034138 : Manchester 064B,10.92,20.56,10.15,60.49,80.35,47.46,16.63,2.25,13.35,0.18
E01005199,E01005199 : Manchester 064C,8.36,34.26,4.99,73.84,53.42,35.84,16.63,2.25,13.35,0.23
E01005518,E01005518 : Rochdale 001A,3.29,26.16,16.79,52.60,26.49,17.06,8.29,1.37,9.79,0.53
E01005520,E01005520 : Rochdale 001B,4.33,31.22,14.13,49.07,29.44,18.51,9.35,1.55,10.69,0.48
E01005522,E01005522 : Rochdale 001C,4.24,28.91,2.73,66.84,48.37,32.77,9.64,1.54,11.14,0.25
E01005523,E01005523 : Rochdale 001D,2.64,28.94,15.61,37.92,29.49,20.47,10.89,1.81,11.82,0.33
E01005519,E01005519 : Rochdale 002A,3.18,29.66,17.87,29.31,16.59,10.82,9.47,1.56,11.20,0.42
E01005594,E01005594 : Rochdale 002B,5.58,27.36,15.10,29.53,24.54,15.08,10.06,1.59,10.64,0.49
E01005597,E01005597 : Rochdale 002C,2.97,32.26,19.47,41.11,20.80,11.71,8.98,1.45,10.25,0.42
E01005598,E01005598 : Rochdale 002D,3.90,34.70,38.03,27.58,18.75,14.66,11.30,1.90,12.00,0.37
E01005516,E01005516 : Rochdale 003A,4.57,31.49,15.87,17.40,13.60,10.34,11.77,1.89,12.02,0.36
E01005517,E01005517 : Rochdale 003B,3.23,33.90,35.73,11.54,18.79,12.75,11.50,1.82,11.86,0.36
E01005521,E01005521 : Rochdale 003C,4.08,37.47,27.89,40.50,24.96,15.01,9.41,1.39,10.54,0.53
E01005596,E01005596 : Rochdale 003D,3.07,33.67,45.15,24.05,18.34,13.46,12.19,1.98,12.17,0.39
E01005578,E01005578 : Rochdale 004A,8.80,18.45,5.44,54.56,49.13,36.12,13.39,1.96,12.26,0.36
E01005579,E01005579 : Rochdale 004B,12.07,14.37,4.72,17.42,62.11,32.91,13.31,1.92,12.83,0.38
