LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005055,E01005055 : Bury 017B,3.79,36.22,16.78,2.4,11.66,41.26 ,1.71 ,10.92,15.34,2.18,12.66,0.37
E01005056,E01005056 : Bury 017C,3.79,33.7,39.8,12.04,13.09,37.98 ,1.51 ,14.79,16.63,2.17,13.35,0.42
E01005057,E01005057 : Bury 017D,4.26,31.67,47.23,17.09,24.59,38.53 ,2.84 ,10.96,15.31,2.43,12.79,0.5
E01005058,E01005058 : Bury 017E,5.18,39.41,45.95,0.81,7.07,44.17 ,1.82 ,8.1,16.62,2.2,12.95,0.4
E01004995,E01004995 : Bury 018A,3.16,23.73,15.29,17.43,11.06,30.97 ,3.38 ,12.39,13.98,1.99,12.49,0.44
E01005010,E01005010 : Bury 018B,4.13,31.09,30.26,24.42,19.75,36.06 ,4.75 ,10.24,15.13,2,13.08,0.5
E01005012,E01005012 : Bury 018C,7.2,29.33,10.34,18.48,48.45,29.01 ,6.59 ,26.61,14.02,2.02,12.64,0.54
E01005013,E01005013 : Bury 018D,7.51,29.05,12.97,28.49,48.67,29.56 ,6.50 ,23.18,13.76,2.01,12.63,0.42
E01004984,E01004984 : Bury 019A,4.71,40.88,37.8,6.79,15.56,46.07 ,1.92 ,10.66,15.94,2.51,13.11,0.43
E01004985,E01004985 : Bury 019B,2.09,46.13,74.92,3.2,10.94,50.00 ,1.17 ,7.58,16.49,2.26,13.3,0.49
E01004989,E01004989 : Bury 019C,3.26,45.65,33.57,11.07,15.29,48.42 ,1.05 ,10.18,14.62,2.05,12.67,0.45
E01005007,E01005007 : Bury 019D,3.89,34.27,18.88,23.32,22.29,39.16 ,2.44 ,20.31,14.6,2.16,12.45,0.43
E01005011,E01005011 : Bury 019E,4.34,45.79,13.38,26.59,14.45,45.12 ,2.33 ,8.86,14.41,2.04,12.67,0.43
E01004983,E01004983 : Bury 020A,5.28,39.3,10.44,7.08,32.28,37.29 ,2.46 ,17.08,16.81,2.13,13.94,0.36
E01004986,E01004986 : Bury 020B,3.77,40.83,5.12,41.34,40.44,39.59 ,3.65 ,29.35,16.55,2.33,13.38,0.37
E01004987,E01004987 : Bury 020C,6.29,23,3.79,33.48,60.24,21.05 ,3.19 ,43.48,16.23,2.17,12.88,0.55
E01004988,E01004988 : Bury 020D,3.89,32.64,10.54,43.29,27.75,36.68 ,2.88 ,23.64,16.97,2.1,13.41,0.45
E01004941,E01004941 : Bury 021A,6.17,24.97,4.36,44.25,43.65,25.28 ,4.62 ,24.74,18.88,2.13,14.51,0.49
E01004942,E01004942 : Bury 021B,10.58,24.04,2.5,52.58,69.22,16.48 ,11.84 ,40.85,17.61,2.11,13.65,0.5
E01004943,E01004943 : Bury 021C,5.56,33.88,6.93,20.65,36.9,30.23 ,5.35 ,22.39,16.57,2.09,14.07,0.41
E01004944,E01004944 : Bury 021D,3.73,36.24,21.39,10.94,13.02,40.99 ,1.75 ,11.9,18.88,2.13,14.77,0.4
E01004946,E01004946 : Bury 021E,8.85,19.13,2.57,41.7,67.95,16.36 ,5.66 ,43.35,18.88,2.13,14.51,0.52
E01004969,E01004969 : Bury 022A,7.64,28.75,13.26,14.1,33.57,28.81 ,5.90 ,23.21,16.99,1.97,14.11,0.53
E01004970,E01004970 : Bury 022B,4.6,37.48,13.53,1.49,12.23,38.51 ,1.48 ,10.03,17.32,2.1,14.77,0.39
E01004971,E01004971 : Bury 022C,4.04,38.62,11,5.83,8.83,39.11 ,1.50 ,13,17.84,2.11,14.77,0.4
E01005034,E01005034 : Bury 022D,4.82,47.71,14.51,18.45,19.47,46.56 ,1.82 ,16.81,16.65,2.15,14.15,0.28
E01004972,E01004972 : Bury 023A,8.56,25.83,3.17,44.72,48.59,23.08 ,9.88 ,28.52,15.76,2.06,14.77,0.46
E01004973,E01004973 : Bury 023B,4.01,44.4,11.33,28.94,20.89,45.08 ,3.38 ,18.56,15.76,2.06,14.77,0.38
E01004975,E01004975 : Bury 023C,6.13,45.86,4.29,44.08,44.73,42.51 ,10.14 ,30.65,15.4,2.08,13.77,0.39
E01005039,E01005039 : Bury 023D,5.13,34.37,2.19,31.24,46.5,31.10 ,8.44 ,31,15.05,2.09,12.77,0.5
E01005045,E01005045 : Bury 023E,5.56,43.85,3.73,38.95,25.48,40.58 ,3.04 ,26.24,15.05,2.09,12.77,0.43
E01004974,E01004974 : Bury 024A,4.47,46.47,15.14,10.15,15.97,45.57 ,2.67 ,16.33,15.4,2.08,13.77,0.46
E01005033,E01005033 : Bury 024B,3.94,41.52,24.66,7.89,27.9,44.04 ,5.04 ,18.09,15.01,2.13,12.64,0.43
E01005036,E01005036 : Bury 024C,6.97,41.61,6.53,10.45,66.07,38.38 ,5.71 ,37.02,15.73,2.13,13.38,0.39
E01005037,E01005037 : Bury 024D,2.69,42.5,18.23,0.95,17.56,44.08 ,2.70 ,14.29,15.22,2.14,12.62,0.46
E01005031,E01005031 : Bury 025A,6.35,28.75,5.83,31.02,37.95,27.86 ,7.04 ,23.78,15.36,2.15,12.57,0.51
E01005032,E01005032 : Bury 025B,8.93,29.16,7.69,18.96,57.07,24.39 ,7.69 ,32.92,16.49,2.56,12.81,0.55
E01005035,E01005035 : Bury 025C,4.49,51.15,6.28,35.22,22.05,51.36 ,3.05 ,20.76,16.24,2.37,13.24,0.56
E01005038,E01005038 : Bury 025D,3.19,48.72,42.75,4.96,8.03,46.97 ,1.72 ,9.16,15.36,2.15,12.67,0.44
E01005040,E01005040 : Bury 026A,4.63,42.04,11.29,4.92,29.28,33.98 ,4.34 ,15.8,15.7,2.06,13.07,0.43
E01005041,E01005041 : Bury 026B,3.63,43.37,32.95,0.19,18.63,38.90 ,5.53 ,9.75,15.99,2.11,13.08,0.45
E01005042,E01005042 : Bury 026C,4.12,38.15,13.87,8.65,24.59,41.41 ,4.72 ,15.8,15.08,2.12,12.67,0.46
E01005043,E01005043 : Bury 026D,4.67,36.33,16.09,1.43,24.9,37.63 ,7.35 ,10.41,15.95,2.14,12.98,0.42
E01005044,E01005044 : Bury 026E,5.85,25.96,4,6.74,44.63,34.63 ,14.53 ,23.53,15.12,2.14,12.58,0.3
E01005659,E01005659 : Salford 001A,8.17,17.75,4.31,37.64,50.08,16.98 ,8.41 ,30.14,12.97,2.02,12.07,0.44
E01005660,E01005660 : Salford 001B,10.26,18.41,5.21,41.23,73.91,11.85 ,7.91 ,42.97,13.2,2.03,12.12,0.42
E01005663,E01005663 : Salford 001C,5.45,29.42,14.16,32.04,52.09,27.44 ,5.80 ,28.76,12.12,1.79,11.75,0.45
E01005664,E01005664 : Salford 001D,11.29,21.1,4.98,46.62,72.1,14.71 ,11.59 ,39.23,14.29,2.27,12.49,0.46
