LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004919,E01004919 : Bolton 012D,3.4,36.02,13.73,32.72,14.51,37.49 ,2.62 ,14.97,11.59,1.85,11.75,0.41
E01004920,E01004920 : Bolton 012E,6.75,33.65,15.79,30.38,31.48,32.74 ,6.75 ,19.55,11.82,1.87,11.67,0.42
E01004787,E01004787 : Bolton 013A,12.23,16.47,5.57,33.95,72.15,17.10 ,10.48 ,47.21,14.47,2.14,12.74,0.51
E01004793,E01004793 : Bolton 013B,10.93,14.91,7.05,27.63,65.56,14.72 ,9.51 ,39.77,15.19,2.19,12.74,0.51
E01004794,E01004794 : Bolton 013C,18.67,20.04,10.54,22.75,65.6,15.12 ,12.62 ,34.26,15.79,2.24,12.82,0.49
E01004795,E01004795 : Bolton 013D,9.55,19.35,10.1,20.49,47.12,19.92 ,7.36 ,36.6,13.82,2.05,12.54,0.47
E01004797,E01004797 : Bolton 013E,7.18,18.91,2.32,22.78,56.87,13.87 ,9.85 ,29.09,14.91,2.17,12.74,0.45
E01004775,E01004775 : Bolton 014A,1.91,39.81,30.89,29.37,17.13,43.49 ,1.73 ,8.85,11.26,2.27,13.09,0.54
E01004885,E01004885 : Bolton 014B,3.71,50.34,71.25,8.47,8.27,53.60 ,1.59 ,4.76,11.82,2.05,12.24,0.63
E01004886,E01004886 : Bolton 014C,6.26,25.69,7.87,19.58,50.48,25.00 ,4.34 ,29.26,13.34,2.08,13.02,0.48
E01004887,E01004887 : Bolton 014D,5.93,26.5,15.65,12.69,42.48,26.42 ,3.31 ,24.42,13.12,2.18,12.68,0.53
E01004868,E01004868 : Bolton 015A,9.22,24.07,3.18,74.72,52.67,13.69 ,17.49 ,32.78,12.36,1.99,11.98,0.21
E01004869,E01004869 : Bolton 015B,17.23,17.86,8.23,66.59,68.48,11.97 ,17.90 ,51.33,12.48,2.01,12.06,0.18
E01004870,E01004870 : Bolton 015C,15.28,24.45,3.83,36.2,58.65,17.34 ,16.14 ,40.69,12.62,2.06,12.15,0.32
E01004871,E01004871 : Bolton 015D,12.98,19.3,6.89,73.62,51.19,10.29 ,29.53 ,31.83,12.54,2.04,11.99,0.25
E01004922,E01004922 : Bolton 015E,6.42,27.85,14.27,49.83,48.7,22.18 ,9.06 ,27.97,12.44,2.03,12.03,0.34
E01004822,E01004822 : Bolton 016B,13.94,20.64,6.07,53.11,59.87,12.44 ,21.57 ,40.66,14.87,2.41,13.13,0.26
E01004823,E01004823 : Bolton 016C,13.57,17.46,5.13,43.64,78.49,10.97 ,13.74 ,51.98,14.12,2.26,12.81,0.34
E01004848,E01004848 : Bolton 016D,17.04,21.32,8.07,23.43,84.64,11.98 ,18.80 ,58.79,14.65,2.43,12.86,0.13
E01033217,E01033217 : Bolton 016E,23.79,28.53,1.23,3.85,89.63,16.35 ,6.02 ,60.96,14.76,2.33,12.82,0.16
E01033220,E01033220 : Bolton 016F,16.64,23,1.76,11.26,83,15.48 ,11.56 ,58.42,16.07,2.42,13.13,0.39
E01004818,E01004818 : Bolton 017A,12.89,24.74,4.1,49.19,72.45,16.36 ,15.16 ,42.65,15.75,2.44,13.11,0.28
E01004819,E01004819 : Bolton 017B,5.99,28.8,12.04,34.78,30.3,24.55 ,6.81 ,20.17,14.16,2.27,12.68,0.43
E01004928,E01004928 : Bolton 017C,8.26,22.89,2.48,80.47,52.19,19.48 ,5.26 ,36.7,16.41,2.32,12.93,0.26
E01004930,E01004930 : Bolton 017D,3.67,24.48,4.3,27.71,16.83,28.90 ,4.61 ,15.31,15.55,2.22,12.74,0.4
E01004931,E01004931 : Bolton 017E,8.66,19.65,2.82,48.59,50.74,16.37 ,5.23 ,34.36,15.67,2.26,12.92,0.38
E01004932,E01004932 : Bolton 017F,8.77,22.63,3.05,71.75,43.77,21.30 ,6.25 ,31.54,14.92,2.27,12.8,0.31
E01004834,E01004834 : Bolton 018A,10.13,23.53,7.2,64.84,44.08,18.14 ,13.23 ,32.76,12.98,2.07,12.6,0.24
E01004838,E01004838 : Bolton 018B,10.29,20.72,8.74,49.54,55.67,13.88 ,18.10 ,36.5,12.98,2.07,12.6,0.37
E01004843,E01004843 : Bolton 018C,2.93,46.49,36.92,19.26,14.58,47.69 ,2.40 ,12.18,11.91,1.91,11.72,0.52
E01004845,E01004845 : Bolton 018D,4.47,46.4,25.77,18.49,26.43,43.55 ,6.15 ,13.97,12.17,2.02,11.81,0.54
E01004923,E01004923 : Bolton 018E,5.54,33.62,2.68,64.25,36.95,30.28 ,8.33 ,19.56,12.36,1.99,11.98,0.31
E01004796,E01004796 : Bolton 019A,7.2,22.71,6.13,40.96,23.73,25.82 ,5.82 ,22.57,14.08,2.1,12.5,0.43
E01004798,E01004798 : Bolton 019B,8.21,18.58,5.86,34.44,41.38,19.41 ,11.54 ,27.78,13.75,2.04,12.38,0.43
E01004799,E01004799 : Bolton 019C,1.1,24.59,40.31,5.66,9.39,30.92 ,2.56 ,12.82,13.58,2.02,12.32,0.41
E01004800,E01004800 : Bolton 019D,2.72,27.04,15.41,6.95,14.23,32.46 ,3.00 ,9.94,13.41,1.99,12.18,0.41
E01004801,E01004801 : Bolton 019E,12.23,18.58,3.46,54.97,72.44,15.19 ,9.43 ,37.5,14.08,2.1,12.42,0.49
E01004917,E01004917 : Bolton 019F,8.81,25.12,21.71,29.54,33.72,29.39 ,5.85 ,18.98,14.67,2.24,12.72,0.49
E01004835,E01004835 : Bolton 020A,3.89,39.35,79.61,7.51,14.46,37.53 ,4.47 ,10.57,13.51,2.5,12.77,0.48
E01004836,E01004836 : Bolton 020B,6.17,35.71,61.86,15.75,17.08,34.30 ,6.31 ,12.6,13.15,2.25,12.8,0.45
E01004837,E01004837 : Bolton 020C,4.04,50.61,87.29,4.68,5.21,49.09 ,1.51 ,6.38,11.71,1.99,11.7,0.61
E01004844,E01004844 : Bolton 020D,3.8,55.17,86.5,2.93,7.15,55.86 ,1.46 ,5.68,11.44,2.01,12.36,0.61
E01004897,E01004897 : Bolton 020E,2.67,44.17,37.94,18.2,17.32,44.59 ,2.84 ,8.99,12.66,2.33,12.77,0.45
E01004827,E01004827 : Bolton 021A,12.11,15.84,6.55,54.76,62.41,10.73 ,23.58 ,38.6,13.07,2.09,12.6,0.36
E01004849,E01004849 : Bolton 021B,11.38,20.91,6.63,76.51,47.26,12.68 ,30.66 ,33.53,14.31,2.36,12.74,0.16
E01004850,E01004850 : Bolton 021C,18.64,19.24,3.88,50.58,67.48,9.31 ,20.93 ,48.58,13.34,2.18,12.15,0.29
E01004851,E01004851 : Bolton 021D,9.88,19.41,3.99,42.97,68.48,11.14 ,19.01 ,43.61,13.99,2.3,12.69,0.28
E01004853,E01004853 : Bolton 021E,10.85,21.13,8.35,69.25,55.71,12.21 ,26.33 ,37.42,13.34,2.18,12.37,0.31
E01004811,E01004811 : Bolton 022A,7.25,17.3,12.58,57.52,67.38,11.26 ,17.82 ,43.63,14.88,2.59,12.98,0.23
E01004812,E01004812 : Bolton 022B,11.46,21.08,8.8,51.61,57.86,13.05 ,22.87 ,29.91,15.09,2.68,13.04,0.19
E01004813,E01004813 : Bolton 022C,6.45,22.07,5,45.58,46.37,15.36 ,15.08 ,29.83,15.05,2.34,13.46,0.4
E01004815,E01004815 : Bolton 022D,9.82,23.56,12.61,33.39,37.41,15.42 ,13.65 ,24.33,14.99,2.69,12.74,0.38
E01004817,E01004817 : Bolton 022E,10.18,29.85,10.74,15.19,67.49,19.83 ,15.88 ,45.72,15.17,2.5,13.04,0.16
E01004828,E01004828 : Bolton 023A,11.37,21.74,5.41,74.88,58.1,11.15 ,24.44 ,34.24,13.39,2.13,12.85,0.23
E01004829,E01004829 : Bolton 023B,10.13,22.6,8.54,75.83,56.85,12.19 ,19.92 ,35,13.34,2.18,12.59,0.17
E01004832,E01004832 : Bolton 023C,5.65,25.26,7.39,69.5,30.36,21.42 ,13.01 ,25.24,13.92,1.96,13.56,0.22
E01004854,E01004854 : Bolton 023D,11.01,20.93,6.7,77.32,44.49,15.93 ,25.65 ,28.33,13.34,2.18,12.59,0.13
E01004878,E01004878 : Bolton 023E,9.41,22.97,3.86,36.21,34.31,18.16 ,14.84 ,25.87,14.08,2.02,13.3,0.38
E01004911,E01004911 : Bolton 024A,7.22,17.24,6.48,31.17,46.95,20.70 ,8.71 ,30.94,14.81,2.03,13,0.35
E01004912,E01004912 : Bolton 024B,4.78,20.92,4.31,10.92,15.98,27.35 ,1.54 ,14.31,15.91,2.08,13.77,0.36
E01004913,E01004913 : Bolton 024C,4.71,23.62,16.22,13.54,28.35,26.72 ,6.00 ,17.24,14.02,1.99,12.25,0.41
E01004914,E01004914 : Bolton 024D,4.53,20.76,8.88,5.21,8.49,28.92 ,4.05 ,11.78,14.08,1.99,12.65,0.36
E01004915,E01004915 : Bolton 024E,2.4,22.62,9.25,2.08,8.11,27.97 ,3.58 ,10.02,15.91,2.08,13.77,0.39
E01004916,E01004916 : Bolton 024F,6.1,20.56,4.28,35.75,42.48,22.32 ,6.81 ,29.33,15.2,2,13.04,0.47
E01004918,E01004918 : Bolton 024G,2.01,24.54,11.94,6.07,6.84,30.77 ,2.52 ,8.75,14,1.94,12.22,0.37
E01004846,E01004846 : Bolton 025A,10.04,19.03,5.28,62.6,56.33,10.95 ,15.85 ,37.88,15.11,2.45,12.37,0.34
E01004847,E01004847 : Bolton 025B,11.3,20.36,7.53,42.86,58.06,11.61 ,23.28 ,28.22,14.23,2.31,12.48,0.39
E01004852,E01004852 : Bolton 025C,6.68,22.6,6.37,73.51,40.91,16.05 ,27.87 ,23.77,14.27,2.33,12.61,0.18
E01004877,E01004877 : Bolton 025D,16.02,19.33,3.13,19.82,72.28,11.62 ,22.64 ,38.47,14.52,2.09,13.24,0.46
E01004879,E01004879 : Bolton 025E,8.87,21.51,4.87,21.16,57.43,13.32 ,20.11 ,29.4,14.96,2.16,13.18,0.46
E01004830,E01004830 : Bolton 026A,8.29,18.38,4.66,54.73,55.85,15.50 ,10.97 ,38.63,13.92,1.96,13.56,0.22
E01004831,E01004831 : Bolton 026B,4.71,25.61,6.52,53.57,22.6,22.26 ,9.01 ,18.11,12.82,1.9,13.17,0.33
E01004833,E01004833 : Bolton 026C,5.72,26.94,27.53,26.44,17.86,27.48 ,4.50 ,13.66,12.87,1.91,12.78,0.44
E01004839,E01004839 : Bolton 026D,10.29,23.86,4.69,36.35,72.26,16.88 ,10.30 ,39.75,14.4,2.47,13.82,0.48
E01004814,E01004814 : Bolton 027A,6.67,23.72,9.04,35.64,39.86,21.10 ,13.30 ,22.75,15.79,2.47,13.81,0.39
E01004855,E01004855 : Bolton 027B,6.39,22.94,5.47,59.97,39.65,22.08 ,8.20 ,31.78,16.07,2.13,14.06,0.37
E01004856,E01004856 : Bolton 027C,9.32,20.07,3.62,60.79,53.23,15.48 ,12.44 ,38.11,15.33,2.2,13.44,0.37
E01004857,E01004857 : Bolton 027D,10.76,19.05,6.79,52.04,53.16,14.00 ,12.93 ,33.23,16.29,2.2,13.48,0.28
E01004891,E01004891 : Bolton 028A,3.28,26.91,17.57,14.32,20.89,33.71 ,2.43 ,16.73,11.51,2.12,12.12,0.43
E01004893,E01004893 : Bolton 028B,1.87,36.62,53.44,8.13,6.56,40.40 ,1.41 ,7.5,11.41,2.42,12.22,0.43
E01004894,E01004894 : Bolton 028C,4.88,32.97,18.82,36.59,28.99,31.62 ,4.24 ,20.05,11.59,2.45,12.27,0.36
E01004901,E01004901 : Bolton 028E,3.95,36.22,64.73,10.08,15.78,41.81 ,0.78 ,9.21,12.18,2.66,12.22,0.41
E01033218,E01033218 : Bolton 028F,3.94,38.26,25.79,34.65,27.23,43.19 ,3.79 ,6.81,12.17,2.62,13.21,0.41
E01033219,E01033219 : Bolton 028G,2.23,36.86,45.73,23.12,12.37,45.77 ,1.00 ,6.52,11.75,2.15,13.31,0.55
E01004816,E01004816 : Bolton 029A,5.66,28.53,7.02,18.39,28.93,19.57 ,30.10 ,17.53,15.03,2.31,13.82,0.43
E01004872,E01004872 : Bolton 029B,7.05,23.47,2.12,37.03,41.69,18.86 ,9.59 ,26.87,14.84,2.21,13.42,0.4
E01004873,E01004873 : Bolton 029C,7.67,20.85,1.29,6.63,46.6,14.99 ,16.96 ,22.73,14.84,2.21,13.42,0.41
E01004875,E01004875 : Bolton 029D,5.45,25.98,9.48,18.96,27.83,25.94 ,5.96 ,21.56,14.7,2.14,13.33,0.4
E01004880,E01004880 : Bolton 029E,4.02,27,20.28,0.4,15.82,27.18 ,9.20 ,10.87,14.7,2.14,13.33,0.36
E01004892,E01004892 : Bolton 030A,2.28,32.14,20.73,7.05,14.47,37.87 ,2.26 ,13.56,11.66,1.95,12.24,0.45
E01004896,E01004896 : Bolton 030B,4.01,37.13,67.95,1.83,5.13,42.31 ,1.65 ,8.24,11.58,1.88,12.01,0.53
E01004899,E01004899 : Bolton 030C,5.75,30.97,26.7,11.81,25.08,30.99 ,5.48 ,12.46,12.8,2.21,13.09,0.54
E01004900,E01004900 : Bolton 030D,4.68,38.18,32.8,23.79,26.81,36.19 ,3.06 ,10.59,13.44,2.15,13.33,0.41
E01004776,E01004776 : Bolton 031A,5.21,26.28,15.36,51.39,40.05,29.25 ,4.48 ,17.92,11.2,2.65,13.11,0.4
E01004895,E01004895 : Bolton 031B,6.48,21.64,13.43,31.51,38.54,25.89 ,3.64 ,27.36,11.02,2.29,12.23,0.47
E01004936,E01004936 : Bolton 031C,2.82,30.78,19.23,40.63,30.7,34.69 ,2.57 ,22.35,11.33,2.8,12.65,0.36
E01004938,E01004938 : Bolton 031D,9.23,18.63,2.38,20.79,64.33,16.78 ,10.65 ,37.48,10.97,2.5,12.23,0.53
E01004939,E01004939 : Bolton 031E,5.75,25.33,18.65,28.89,34.41,27.63 ,4.76 ,22.72,11.17,2.7,12.58,0.53
E01004858,E01004858 : Bolton 032A,8.09,21.48,9.94,37.68,52.53,19.81 ,4.61 ,34.17,15.74,2.15,13.62,0.37
E01004859,E01004859 : Bolton 032B,11.83,16.91,3.01,36.01,68.63,13.88 ,8.48 ,48.28,16.64,2.1,14.18,0.23
E01004860,E01004860 : Bolton 032C,5.58,19.02,3.51,44.36,37.74,20.23 ,5.43 ,30.54,16.64,2.1,13.81,0.29
E01004902,E01004902 : Bolton 032D,6.54,19.35,4.89,45.05,41.57,20.08 ,5.69 ,30.6,16.99,1.99,14.41,0.27
E01004906,E01004906 : Bolton 032E,6.7,19.6,8.31,44.16,54.33,21.09 ,9.23 ,39.08,17.84,2.07,14.61,0.35
E01004861,E01004861 : Bolton 033A,8.73,21.03,9.92,7.82,55.12,16.47 ,10.83 ,26.81,15.19,2.18,13.04,0.41
E01004862,E01004862 : Bolton 033B,9.11,17.13,7.99,9.35,63.5,13.70 ,9.49 ,38.03,15.64,2.13,13.32,0.41
E01004863,E01004863 : Bolton 033C,8.33,17.03,2.65,27.57,62.66,13.59 ,9.98 ,35,15.64,2.13,13.32,0.39
E01004874,E01004874 : Bolton 033D,4.36,21.45,5.43,30.02,34.89,21.67 ,4.84 ,21.63,12.8,2.01,13.25,0.43
E01004876,E01004876 : Bolton 033E,10.56,19.19,5.09,33.72,54.41,17.10 ,5.99 ,29.55,14.29,2.27,12.49,0.44
E01004903,E01004903 : Bolton 034A,3.84,26.96,29.51,25.69,15.63,33.53 ,1.74 ,8.68,18.81,1.97,13.85,0.4
E01004904,E01004904 : Bolton 034B,3.88,28.98,21.11,23.68,25.51,34.93 ,3.52 ,11.92,18.47,1.95,13.6,0.46
E01004905,E01004905 : Bolton 034C,7.21,21.18,4.46,38.93,38.31,21.41 ,5.94 ,28.08,18.53,1.98,14.47,0.4
E01004907,E01004907 : Bolton 034D,8.74,19.42,2.94,25.5,44.12,20.22 ,10.48 ,28.57,17.66,1.94,14.45,0.47
E01004908,E01004908 : Bolton 034E,5.69,21.42,12.19,7.89,16.46,28.85 ,3.40 ,18.67,17.29,1.93,13.99,0.39
E01004909,E01004909 : Bolton 034F,5.22,18.84,5.92,21.03,40,21.71 ,6.08 ,27.93,18,1.92,14.4,0.44
E01004910,E01004910 : Bolton 034G,4.76,26.38,7.3,23.42,39.72,31.80 ,5.16 ,15.39,17.09,2.04,14.03,0.45
E01004933,E01004933 : Bolton 035A,2.94,29.33,22.43,18.96,14.9,32.85 ,2.78 ,12.17,11.27,2.56,12.57,0.48
E01004934,E01004934 : Bolton 035B,5,36.33,57.04,10.47,29.06,38.13 ,4.14 ,11.73,11.27,2.56,12.57,0.56
E01004935,E01004935 : Bolton 035C,2.9,32.56,38.53,27.07,16.96,38.30 ,2.80 ,10.93,11.03,2.34,12.13,0.4
E01004937,E01004937 : Bolton 035D,3.86,34.97,69.28,21.6,10.75,43.10 ,2.56 ,6.57,11.27,2.77,12.87,0.48
E01004940,E01004940 : Bolton 035E,3.05,26.2,31.68,4.29,11.92,33.53 ,3.14 ,10.71,10.97,2.5,12.23,0.36
E01005014,E01005014 : Bury 001A,3.1,37.71,15.66,34.61,39.79,40.86 ,3.16 ,20.89,10.68,1.63,10.28,0.26
E01005015,E01005015 : Bury 001B,5.06,30.31,10.63,52.69,43.67,31.46 ,6.87 ,24.75,11.16,1.85,10.87,0.62
E01005016,E01005016 : Bury 001C,3.31,44.15,7.46,69.44,23.42,45.17 ,5.48 ,14.89,10.7,1.63,10.37,0.47
E01005017,E01005017 : Bury 001D,2.93,39.1,24.68,34.11,22.09,42.73 ,2.97 ,16.67,10.67,1.63,10.94,0.43
E01005018,E01005018 : Bury 001E,5.27,35.54,10.22,50.97,37.9,37.83 ,5.11 ,20.5,10.12,1.55,10.49,0.44
E01005021,E01005021 : Bury 001F,3.23,40.13,45.48,14.05,8.33,44.15 ,1.91 ,6.68,9.01,1.44,9.97,0.6
E01005019,E01005019 : Bury 002A,3.68,41.49,50.56,20.8,13.74,45.47 ,2.72 ,12.98,10.68,1.61,10.49,0.46
E01005023,E01005023 : Bury 002B,3.32,35.88,17.58,10.44,22.16,38.64 ,2.75 ,15.02,11.46,1.71,10.84,0.44
E01005046,E01005046 : Bury 002C,3.25,39.35,26.84,5.75,6.8,47.30 ,1.03 ,11.21,10.69,1.61,10.58,0.41
E01005048,E01005048 : Bury 002D,2.28,50.69,72.01,8.93,6.53,55.79 ,2.12 ,5,10.19,1.54,10.35,0.45
E01005020,E01005020 : Bury 003A,2.5,46.67,82.34,2.18,4.57,50.84 ,0.79 ,2.78,10.58,1.63,10.69,0.45
E01005022,E01005022 : Bury 003B,2.86,52,41.89,30.71,14.49,53.81 ,0.79 ,6.46,11.26,1.7,11.05,0.64
E01005047,E01005047 : Bury 003C,2.96,41.33,37.56,27.58,9.32,46.83 ,0.85 ,8.47,10.41,1.6,10.59,0.7
E01005049,E01005049 : Bury 003D,3.72,36.38,17.98,47.67,17.88,42.94 ,3.06 ,13.43,10.65,1.6,10.64,0.46
E01005051,E01005051 : Bury 003E,1.86,33.18,22.73,42.73,28.41,39.83 ,6.48 ,18.73,10.92,1.63,10.76,0.48
E01004976,E01004976 : Bury 004A,6.18,24.35,4.54,17.53,39.87,23.10 ,5.15 ,26.25,15.03,2.13,11.79,0.45
E01004977,E01004977 : Bury 004B,5.58,26.17,5.81,23.36,32.83,26.90 ,3.78 ,26.93,15.34,2.15,12.14,0.34
E01004978,E01004978 : Bury 004C,7.44,30.97,5.47,57.14,28.79,28.31 ,9.73 ,19,16.59,2.25,12.54,0.34
E01004981,E01004981 : Bury 004D,3.07,34.52,14.47,20.9,24.28,36.26 ,2.09 ,15.11,12.73,1.82,11.4,0.56
E01004982,E01004982 : Bury 004E,3.36,34.73,41.9,18.65,13.59,41.23 ,2.14 ,12.98,13.77,1.95,11.83,0.49
E01004961,E01004961 : Bury 005A,6.31,26.94,32.91,21.52,39.78,29.62 ,7.78 ,23.93,16.06,2.14,12.1,0.41
E01004965,E01004965 : Bury 005B,3.3,41.83,73.72,4.74,8.88,48.79 ,4.56 ,10.67,13.42,1.95,11.36,0.45
E01004966,E01004966 : Bury 005C,6.73,27.82,9.83,14.13,42.88,26.46 ,8.32 ,22.99,12.4,1.83,11.19,0.45
E01004967,E01004967 : Bury 005D,3.93,39.82,82.07,1.08,6.25,44.70 ,1.73 ,7.97,16.42,2.21,12.08,0.44
E01004963,E01004963 : Bury 006A,3.65,27.26,19.91,19.19,22.4,34.49 ,7.20 ,20.89,12.97,1.82,11.3,0.4
E01004968,E01004968 : Bury 006B,2.63,35.46,22.68,10.11,8.79,39.11 ,1.63 ,8.28,13.7,1.9,11.47,0.4
E01005050,E01005050 : Bury 006C,3.32,31.06,27.53,45.53,21.22,36.31 ,4.47 ,11.85,11.55,1.7,10.9,0.44
E01005052,E01005052 : Bury 006D,4.62,35.08,19.97,12.97,9.4,39.88 ,0.85 ,8.21,10.84,1.61,10.58,0.39
E01005053,E01005053 : Bury 006E,3.05,31.28,19.75,39.49,21.57,34.03 ,3.31 ,12.01,11.66,1.73,10.95,0.48
E01004954,E01004954 : Bury 007A,4.22,27.18,13.64,22.48,28.02,31.02 ,3.10 ,20,14.93,2.07,12.87,0.46
E01004955,E01004955 : Bury 007B,6.13,24.09,16.3,41.67,35.51,25.41 ,6.16 ,24.32,15.32,2.18,12.67,0.47
E01004956,E01004956 : Bury 007C,7.62,21.59,5.24,55.04,48.28,21.31 ,9.83 ,34.83,15.08,2.06,12.7,0.28
E01004957,E01004957 : Bury 007D,11.21,19.12,9.73,23.26,65.11,17.18 ,15.26 ,42.3,15.17,2.29,13.16,0.49
E01004960,E01004960 : Bury 007E,18.02,15.55,3.99,20.86,81.9,11.93 ,16.72 ,54.91,15.96,2.19,12.79,0.49
E01004958,E01004958 : Bury 008A,10.7,19.87,2.77,64.92,58.52,14.81 ,10.64 ,44.25,15,2.17,12.47,0.24
E01004959,E01004959 : Bury 008B,9.73,21.99,3.42,56.97,50.89,18.88 ,10.93 ,35.06,14.68,2.16,12.42,0.31
E01004979,E01004979 : Bury 008C,11.51,20.12,4.01,64.54,63,11.62 ,16.07 ,42.86,14.7,1.99,11.93,0.19
E01004980,E01004980 : Bury 008D,9.17,26.49,1.25,75.23,50,19.42 ,11.44 ,38.04,16.29,2.2,12.7,0.23
E01005024,E01005024 : Bury 008E,11.75,28.12,5.21,34.43,70.63,22.10 ,24.75 ,45.8,14.99,2.26,12.29,0.13
E01005026,E01005026 : Bury 008F,7.06,24.71,4.63,68.52,34.93,17.14 ,23.68 ,24.61,14.01,2.31,12.06,0.18
E01004947,E01004947 : Bury 009A,6.59,25.29,2.27,75.45,42.66,24.92 ,9.56 ,28.33,13.85,1.87,11.75,0.28
E01004948,E01004948 : Bury 009B,8.15,25.11,9.65,30.15,48.28,24.00 ,7.50 ,35.76,13.42,1.89,11.77,0.15
E01004962,E01004962 : Bury 009C,3.48,30.63,11.11,58.78,27.65,31.16 ,4.77 ,18.67,13.35,1.82,11.45,0.25
E01004964,E01004964 : Bury 009D,4.13,27.77,4.29,60.48,40.41,30.38 ,5.71 ,27.77,14.59,1.99,11.71,0.3
E01004949,E01004949 : Bury 010A,3.1,35.87,55.94,0.86,6.21,42.66 ,2.07 ,8.78,12.24,1.73,11.47,0.42
E01004950,E01004950 : Bury 010B,3.14,39.37,66.56,0.65,12.3,45.48 ,1.78 ,9.56,12.1,1.8,11.25,0.45
E01004951,E01004951 : Bury 010C,2.84,31.26,25.27,7.09,8.32,36.74 ,2.62 ,9.83,12.64,1.84,11.9,0.4
E01004952,E01004952 : Bury 010D,2.04,34.41,76.42,1.46,5.69,42.31 ,0.65 ,13.01,12.52,1.82,11.7,0.42
E01004953,E01004953 : Bury 010E,4.37,34.58,31.92,8.02,19.34,39.66 ,2.04 ,17.53,13.43,1.83,11.63,0.47
E01005025,E01005025 : Bury 011A,6.33,28.29,10.74,22.87,28.93,28.69 ,4.74 ,23.92,12.73,1.87,11.57,0.42
E01005027,E01005027 : Bury 011B,8.49,30.2,3.91,65.8,41.98,21.68 ,14.53 ,31.98,12.71,1.86,11.61,0.2
E01005028,E01005028 : Bury 011C,8.17,21.01,4.31,20.84,64.27,15.36 ,13.33 ,34.77,13.71,2.21,12.02,0.44
E01005029,E01005029 : Bury 011D,6.92,24.38,7.69,47.57,32.08,18.39 ,18.52 ,23.23,13.6,2.22,11.92,0.36
E01005000,E01005000 : Bury 012A,5.06,30.24,46.77,12.24,11.73,38.76 ,2.04 ,6.97,13.36,1.98,12.22,0.42
E01005001,E01005001 : Bury 012B,2.18,32.21,66.13,9.13,12.88,40.38 ,0.61 ,5.26,13.56,1.99,12.2,0.43
E01005005,E01005005 : Bury 012C,3.14,34.12,21.06,42.77,14.31,37.06 ,3.38 ,10.45,12.7,1.91,11.77,0.58
E01005006,E01005006 : Bury 012D,2.93,36.08,33.21,10.53,19.85,40.23 ,1.98 ,11.52,12.57,1.87,11.86,0.46
E01005030,E01005030 : Bury 013A,8.78,22.75,2.92,14.47,65.23,19.32 ,6.36 ,36.17,12.92,2.02,11.69,0.44
E01005054,E01005054 : Bury 013B,3.74,30.42,18.61,28.55,27.23,34.15 ,4.26 ,15.74,14.98,2.38,12.68,0.42
E01005059,E01005059 : Bury 013C,3.63,33.12,31.49,11.19,37.67,31.18 ,5.53 ,20.45,14.12,2.49,12.14,0.52
E01005060,E01005060 : Bury 013D,5.23,28.25,14.42,19.59,25.03,32.39 ,6.39 ,16.33,14.17,2.33,12.05,0.38
E01004997,E01004997 : Bury 014A,3.42,24.45,18.61,58.58,33.39,27.84 ,7.61 ,23.95,13.24,1.96,11.96,0.31
E01004998,E01004998 : Bury 014B,3.19,25.07,25.75,23.85,18.54,30.49 ,3.38 ,14.21,13.18,1.93,11.89,0.37
E01004999,E01004999 : Bury 014C,3.84,26.62,32.11,14.05,16.69,30.43 ,3.52 ,13.07,12.88,1.92,11.84,0.47
E01005002,E01005002 : Bury 014D,5.63,24.42,9.94,4.81,19.84,28.58 ,2.65 ,17.52,13.59,1.99,12.14,0.39
E01005003,E01005003 : Bury 014E,5.52,20,4.11,57.56,48.75,20.17 ,7.20 ,30.25,13.15,1.93,12.01,0.3
E01004991,E01004991 : Bury 015A,5.81,24.02,2.85,48.32,33.05,25.57 ,7.39 ,17.62,13.58,2.12,11.76,0.4
E01004992,E01004992 : Bury 015B,6.43,23.28,3.15,62.62,38.49,22.74 ,7.42 ,28.05,14.03,2.12,12.17,0.35
E01004993,E01004993 : Bury 015C,6.12,29.12,35.9,15.64,26.96,31.29 ,5.01 ,17.46,13.92,2.2,11.97,0.37
E01004994,E01004994 : Bury 015D,5.37,23.52,5.77,56.95,54.87,23.32 ,10.37 ,37.78,13.65,2.07,11.91,0.39
E01004990,E01004990 : Bury 016A,5.9,21.66,4.95,40.54,40.75,22.62 ,7.51 ,27.78,13.79,2.01,12.21,0.38
E01004996,E01004996 : Bury 016B,9.67,19.24,1.32,52.19,66.23,17.68 ,8.32 ,43.84,13.72,2.02,11.88,0.29
E01005004,E01005004 : Bury 016C,10.07,16.9,7.25,20.12,73.59,14.50 ,10.08 ,49.18,13.44,1.97,12.1,0.5
E01005008,E01005008 : Bury 016D,7.76,23.78,8.54,55.74,63.96,21.56 ,9.79 ,38.38,13.84,2,12.27,0.3
E01005009,E01005009 : Bury 016E,8.65,23.17,6.48,41.55,65.31,18.47 ,6.72 ,43.21,14.15,2.11,12.29,0.26
E01004945,E01004945 : Bury 017A,2.93,33.36,31.35,11.47,13.98,38.84 ,1.08 ,14.72,16.9,2.17,13.85,0.45
