2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01004875 : Bolton 029D,"1,667",792,570,207,71,27
E01004880 : Bolton 029E,"1,476",763,470,190,46,7
E01004892 : Bolton 030A,"1,581",781,518,201,63,18
E01004896 : Bolton 030B,"1,314",613,435,181,57,28
E01004899 : Bolton 030C,"1,596",750,538,216,77,15
E01004900 : Bolton 030D,"1,612",880,494,166,53,19
E01004776 : Bolton 031A,"1,824",847,620,240,82,35
E01004895 : Bolton 031B,"1,327",502,488,221,96,20
E01004936 : Bolton 031C,"2,170",990,746,321,89,24
E01004938 : Bolton 031D,"1,549",685,461,241,124,38
E01004939 : Bolton 031E,"1,598",693,592,210,82,21
E01004858 : Bolton 032A,"1,583",657,541,255,97,33
E01004859 : Bolton 032B,"1,506",565,429,337,149,26
E01004860 : Bolton 032C,"1,470",646,503,213,80,28
E01004902 : Bolton 032D,"1,846",768,641,297,105,35
E01004906 : Bolton 032E,"1,795",653,671,323,115,33
E01004861 : Bolton 033A,"1,958",959,622,252,103,22
E01004862 : Bolton 033B,"1,436",632,433,229,108,34
E01004863 : Bolton 033C,"1,586",686,485,253,124,38
E01004874 : Bolton 033D,"1,757",860,557,232,84,24
E01004876 : Bolton 033E,"1,966",821,660,320,128,37
E01004903 : Bolton 034A,"1,444",777,490,133,32,12
E01004904 : Bolton 034B,"1,678",855,529,213,59,22
E01004905 : Bolton 034C,"1,596",736,553,201,86,20
E01004907 : Bolton 034D,"1,310",573,460,199,59,19
E01004908 : Bolton 034E,"1,297",569,453,190,68,17
E01004909 : Bolton 034F,"1,399",586,469,240,78,26
E01004910 : Bolton 034G,"2,051","1,020",740,199,80,12
E01004933 : Bolton 035A,"1,314",623,458,176,47,10
E01004934 : Bolton 035B,"1,442",707,488,188,43,16
E01004935 : Bolton 035C,"1,838",995,587,188,54,14
E01004937 : Bolton 035D,"1,637",883,536,173,36,9
E01004940 : Bolton 035E,"1,431",662,466,212,62,29
E01005014 : Bury 001A,"1,463",740,480,176,52,15
E01005015 : Bury 001B,"1,494",682,489,227,79,17
E01005016 : Bury 001C,"1,494",765,490,173,50,16
