2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005680 : Salford 017B,"1,731",688,579,276,136,52
E01005683 : Salford 017C,"2,148",997,679,274,138,60
E01033980 : Salford 017G,"1,042",518,372,104,44,4
E01033981 : Salford 017H,"2,739","1,397",932,265,98,47
E01005622 : Salford 018A,"1,594",753,530,236,64,11
E01005623 : Salford 018B,"1,266",676,398,135,38,19
E01005626 : Salford 018C,"1,286",600,467,157,46,16
E01005628 : Salford 018D,"1,576",696,573,201,79,27
E01005725 : Salford 019A,"1,461",644,475,205,107,30
E01005726 : Salford 019B,"1,432",643,502,195,76,16
E01005727 : Salford 019C,"1,349",629,475,164,59,22
E01005728 : Salford 019D,"1,790",928,636,168,45,13
E01005733 : Salford 019E,"1,470",710,467,174,101,18
E01005631 : Salford 020A,"1,576",563,436,363,169,45
E01005632 : Salford 020B,"2,452","1,291",752,263,109,37
E01005633 : Salford 020C,"1,533",683,511,217,90,32
E01005634 : Salford 020D,"1,591",916,499,140,30,6
E01005635 : Salford 020E,"1,552",753,465,245,70,19
E01005636 : Salford 020F,"1,597",831,481,192,69,24
E01005637 : Salford 020G,"1,454",711,486,181,58,18
E01005629 : Salford 021A,"1,486",731,460,201,74,20
E01005630 : Salford 021B,"1,529",764,489,204,56,16
E01005719 : Salford 021C,"2,036",921,640,317,122,36
E01005722 : Salford 021E,"2,032",945,647,285,126,29
E01005723 : Salford 021F,"1,661",804,505,225,99,28
E01005724 : Salford 021G,"1,413",708,424,197,68,16
E01033982 : Salford 021H,"1,911",944,614,234,90,29
E01033983 : Salford 021I,"1,275",608,472,126,56,13
E01005654 : Salford 023A,"1,967","1,056",614,208,68,21
E01005656 : Salford 023B,"1,697",756,623,212,80,26
E01005657 : Salford 023C,"1,804",856,585,226,108,29
E01005721 : Salford 023D,"1,552",607,541,252,123,29
E01005681 : Salford 024C,"1,502",642,493,236,94,37
E01005682 : Salford 024D,"1,742",699,479,338,172,54
E01033984 : Salford 024E,"2,443","1,175",758,330,120,60
E01005729 : Salford 025A,"1,537",642,454,296,109,36
E01005730 : Salford 025B,"1,668",783,609,208,60,8
E01005731 : Salford 025C,"1,566",693,551,205,97,20
E01005732 : Salford 025D,"1,208",519,375,201,86,27
E01005599 : Salford 026A,"1,903",853,611,294,105,40
E01005600 : Salford 026B,"2,035","1,065",633,235,80,22
E01005601 : Salford 026C,"1,740",780,572,274,85,29
E01005602 : Salford 026D,"1,674",745,503,289,102,35
E01005603 : Salford 027A,"1,810",908,579,234,67,22
E01005604 : Salford 027B,"1,651",739,568,242,83,19
E01005605 : Salford 027C,"1,658",811,529,222,72,24
E01005638 : Salford 027D,"2,210","1,019",717,333,111,30
E01005639 : Salford 029A,"1,515",691,472,196,126,30
E01005640 : Salford 029B,"1,359",594,452,189,104,20
E01005641 : Salford 029C,"1,365",554,446,224,110,31
E01005642 : Salford 029D,"1,208",594,432,124,46,12
E01005643 : Salford 029E,"1,367",563,476,236,75,17
E01005644 : Salford 029F,"1,518",742,536,181,48,11
E01005645 : Salford 029G,"1,362",590,481,218,55,18
E01005616 : Salford 030A,"1,446",607,492,239,81,27
E01005617 : Salford 030B,"1,481",690,510,198,71,12
E01005618 : Salford 030C,"2,081","1,048",653,256,99,25
E01005619 : Salford 030D,"1,231",550,423,166,70,22
E01005620 : Salford 030E,"2,550","1,370",827,262,68,23
E01005621 : Salford 030F,"1,770",762,609,269,99,31
E01005613 : Salford 031A,"2,699","1,397",797,307,161,37
E01005612 : Salford 031B,"2,481","1,279",633,356,168,45
E01005614 : Salford 031C,"3,098","2,471",440,125,51,11
E01033985 : Salford 032A,"1,664",853,467,182,119,43
E01033986 : Salford 032B,"1,521",854,474,120,63,10
E01005611 : Salford 032C,"2,513","1,190",871,292,124,36
E01005615 : Salford 032D,"2,372","1,479",542,197,118,36
E01033987 : Salford 033A,"1,137",698,379,48,9,3
E01033988 : Salford 033B,"1,310",779,436,79,15,1
E01033989 : Salford 033C,"1,132",608,385,96,33,10
E01033990 : Salford 033D,"1,189",771,329,74,11,4
E01033330 : Salford 033E,"1,541",655,504,236,104,42
E01032909 : Salford 033F,"1,716","1,107",521,75,13,0
E01033991 : Salford 034A,"1,561",736,549,162,94,20
E01033992 : Salford 034B,"1,400",868,452,67,10,3
E01005610 : Salford 034C,"2,940","1,432","1,124",277,79,28
E01032684 : Salford 034D,"1,386",692,475,138,67,14
E01032906 : Salford 034E,"2,044","1,148",650,174,56,16
E01032914 : Salford 035A,"2,121","1,114",750,193,54,10
E01032912 : Salford 035B,"2,273","1,106",725,266,130,46
E01005667 : Salford 035C,"2,274","1,057",732,315,128,42
E01033993 : Salford 036A,"1,813","1,027",588,137,45,16
E01033994 : Salford 036B,"1,173",706,397,59,9,2
E01032915 : Salford 036C,"2,138","1,077",680,242,105,34
E01033995 : Salford 037A,"1,206",676,428,80,16,6
E01033996 : Salford 037B,"1,215",706,396,100,10,3
E01033997 : Salford 037C,"1,030",555,356,102,16,1
E01033998 : Salford 037D,"1,330",755,456,92,22,5
E01033999 : Salford 037E,"1,222",665,425,116,16,0
E01005886 : Stockport 001A,"1,468",684,508,176,80,20
E01005888 : Stockport 001B,"1,527",766,468,202,65,26
E01005889 : Stockport 001C,"1,429",601,476,233,96,23
E01005891 : Stockport 001D,"1,221",584,400,179,45,13
E01005894 : Stockport 001E,"1,361",642,498,162,43,16
E01005887 : Stockport 002A,"1,731",857,530,262,65,17
E01005890 : Stockport 002B,"1,527",725,515,206,59,22
E01005893 : Stockport 002C,"2,187","1,086",762,222,84,33
E01005896 : Stockport 002D,"1,665",773,572,225,79,16
E01005919 : Stockport 002E,"1,540",702,483,240,90,25
E01005862 : Stockport 003A,"1,476",825,456,145,37,13
E01005892 : Stockport 003B,"1,272",621,388,179,64,20
E01005895 : Stockport 003C,"1,165",564,352,170,59,20
E01005920 : Stockport 003D,"1,601",854,521,170,46,10
E01005921 : Stockport 003E,"1,467",624,508,243,64,28
E01005922 : Stockport 003F,"1,313",570,470,191,55,27
E01005753 : Stockport 004A,"1,840",744,563,349,138,46
E01005754 : Stockport 004B,"2,005",717,627,384,206,71
E01005755 : Stockport 004C,"1,735",685,617,273,128,32
E01005756 : Stockport 004D,"2,378","1,091",756,311,168,52
E01005745 : Stockport 005A,"1,376",637,499,172,53,15
E01005746 : Stockport 005B,"1,451",507,427,334,126,57
E01005747 : Stockport 005C,"1,401",692,501,156,33,19
E01005748 : Stockport 005D,"1,515",723,534,197,55,6
E01005863 : Stockport 006A,"1,717",893,561,196,58,9
E01005864 : Stockport 006B,"1,576",887,474,142,63,10
E01005866 : Stockport 006C,"1,669",887,513,188,65,16
E01005869 : Stockport 006D,"1,593",759,531,210,61,32
E01005914 : Stockport 007A,"1,418",634,487,217,66,14
E01005915 : Stockport 007B,"1,549",661,558,216,96,18
E01005916 : Stockport 007C,"1,614",791,526,207,70,20
E01005917 : Stockport 007D,"1,829",818,638,254,92,27
E01005859 : Stockport 008A,"1,411",861,384,125,31,10
E01005865 : Stockport 008B,"1,960","1,141",597,162,43,17
E01005867 : Stockport 008C,"1,482",809,455,157,49,12
E01005868 : Stockport 008D,"1,522",795,493,178,39,17
E01005743 : Stockport 009A,"1,274",559,496,164,42,13
E01005744 : Stockport 009B,"1,554",621,547,270,88,28
E01005749 : Stockport 009C,"1,656",832,529,216,58,21
E01005750 : Stockport 009D,"1,669",878,531,187,59,14
E01005751 : Stockport 009E,"1,402",631,523,176,52,20
E01005897 : Stockport 010A,"1,527",726,439,249,96,17
E01005898 : Stockport 010B,"1,708",819,549,232,88,20
E01005900 : Stockport 010C,"1,608",678,557,264,83,26
E01005903 : Stockport 010D,"1,459",758,466,188,33,14
E01005904 : Stockport 010E,"1,530",792,490,189,47,12
E01005853 : Stockport 011A,"1,614",781,532,199,78,24
E01005856 : Stockport 011B,"1,602",885,495,174,42,6
E01005860 : Stockport 011C,"1,515",917,431,125,35,7
E01005861 : Stockport 011D,"1,543",793,498,181,60,11
E01005752 : Stockport 012A,"1,405",622,458,211,87,27
E01005899 : Stockport 012B,"1,619",686,539,282,85,27
E01005901 : Stockport 012C,"1,368",557,494,240,60,17
E01005902 : Stockport 012D,"1,621",675,548,241,116,41
E01005905 : Stockport 012E,"1,510",643,512,241,92,22
E01005852 : Stockport 013A,"1,488",737,497,193,49,12
E01005854 : Stockport 013B,"1,733","1,048",483,145,45,12
E01005855 : Stockport 013C,"1,481",888,430,118,33,12
E01005857 : Stockport 013D,"1,626",838,544,178,53,13
E01005858 : Stockport 013E,"1,578",804,547,169,45,13
E01005757 : Stockport 014A,"1,602",710,570,223,74,25
E01005766 : Stockport 014C,"1,779",791,584,277,97,30
E01005918 : Stockport 014D,"1,617",574,470,344,176,53
E01033947 : Stockport 014E,"1,540",672,507,235,89,37
E01033948 : Stockport 014F,"1,348",456,451,285,118,38
E01005870 : Stockport 015A,"1,374",669,445,185,53,22
E01005871 : Stockport 015B,"1,382",621,486,202,61,12
E01005873 : Stockport 015C,"1,467",708,526,169,50,14
E01005875 : Stockport 015D,"1,559",787,547,168,46,11
E01005764 : Stockport 016A,"1,606",724,552,219,91,20
E01005816 : Stockport 016B,"1,561",771,544,175,53,18
E01005817 : Stockport 016C,"1,391",648,480,192,54,17
E01005822 : Stockport 016D,"1,897",767,663,298,119,50
E01005880 : Stockport 017A,"1,486",772,500,162,40,12
E01005881 : Stockport 017B,"1,210",672,394,110,29,5
E01005883 : Stockport 017C,"1,520",788,521,167,34,10
E01005908 : Stockport 017D,"1,644",990,514,107,24,9
E01005765 : Stockport 018A,"1,382",675,492,160,36,19
E01005818 : Stockport 018B,"1,400",680,475,177,51,17
E01005819 : Stockport 018C,"1,593",811,554,166,55,7
E01005820 : Stockport 018D,"1,491",763,443,189,68,28
E01005821 : Stockport 018E,"1,413",663,484,192,56,18
E01005823 : Stockport 018F,"1,646",751,541,246,89,19
E01005825 : Stockport 019A,"1,676",809,590,191,72,14
E01005872 : Stockport 019B,"1,647",703,582,252,89,21
E01005874 : Stockport 019C,"1,874",752,605,371,109,37
E01005876 : Stockport 019D,"1,496",681,543,195,56,21
E01005877 : Stockport 019E,"1,738",830,576,232,88,12
E01005878 : Stockport 020A,"1,749",796,580,249,92,32
E01005879 : Stockport 020B,"1,317",636,424,171,71,15
E01005882 : Stockport 020C,"1,275",682,433,113,29,18
E01005884 : Stockport 020D,"1,435",734,489,160,41,11
E01005885 : Stockport 020E,"1,491",744,474,205,39,29
E01005832 : Stockport 021A,"1,421",673,486,185,56,21
E01005833 : Stockport 021B,"1,037",438,366,154,64,15
E01005835 : Stockport 021C,"1,394",712,478,155,39,10
E01005837 : Stockport 021D,"1,544",793,513,187,43,8
E01005843 : Stockport 021E,"1,450",746,503,146,40,15
E01005769 : Stockport 022A,"1,552",761,520,187,57,27
E01005778 : Stockport 022B,"1,408",681,482,186,38,21
E01005779 : Stockport 022C,"1,472",757,475,163,59,18
E01005780 : Stockport 022D,"1,480",760,497,170,35,18
E01005781 : Stockport 022E,"1,656",638,574,276,129,39
E01005759 : Stockport 023A,"1,678",816,596,201,57,8
E01005760 : Stockport 023B,"1,930",912,660,245,91,22
E01005797 : Stockport 023C,"1,417",684,478,184,57,14
E01005800 : Stockport 023D,"1,615",805,562,182,54,12
E01005804 : Stockport 023E,"1,128",532,350,154,76,16
E01005824 : Stockport 024A,"1,508",697,535,198,66,12
E01005826 : Stockport 024B,"1,611",681,498,289,111,32
E01005827 : Stockport 024C,"1,752",867,577,221,67,20
E01005828 : Stockport 024D,"1,375",548,436,236,115,40
E01005829 : Stockport 024E,"1,191",542,404,171,59,15
E01005768 : Stockport 025A,"2,067","1,161",631,209,55,11
E01005770 : Stockport 025B,"1,497",766,470,180,57,24
E01005771 : Stockport 025C,"1,438",764,447,153,51,23
E01005775 : Stockport 025D,"1,665",943,509,154,40,19
E01005761 : Stockport 026A,"1,408",682,426,201,82,17
E01005762 : Stockport 026B,"1,973",886,593,334,125,35
E01005763 : Stockport 026C,"1,733",751,565,255,123,39
E01005799 : Stockport 026D,"1,874",883,619,245,99,28
E01005798 : Stockport 027A,"1,641",730,505,279,103,24
E01005801 : Stockport 027B,"2,215","1,217",677,214,89,18
E01005802 : Stockport 027C,"1,482",842,444,153,34,9
E01005803 : Stockport 027D,"1,393",759,453,136,34,11
E01005830 : Stockport 027E,"1,539",712,574,181,49,23
E01005831 : Stockport 027F,"1,645",801,581,190,58,15
E01005767 : Stockport 028A,"1,634",831,505,215,75,8
E01005772 : Stockport 028B,"1,550",803,478,180,68,21
E01005773 : Stockport 028C,"1,571",876,428,169,74,24
E01005774 : Stockport 028D,"1,549",651,503,247,113,35
E01005776 : Stockport 028E,"1,713",913,573,173,42,12
E01005909 : Stockport 029A,"1,532",809,506,159,50,8
E01005910 : Stockport 029B,"1,614",708,544,229,103,30
E01005911 : Stockport 029C,"1,330",593,445,214,54,24
E01005912 : Stockport 029D,"1,497",779,491,173,42,12
E01005782 : Stockport 030A,"1,277",623,433,167,50,4
E01005783 : Stockport 030B,"1,548",791,457,215,67,18
E01005784 : Stockport 030C,"1,493",843,436,161,38,15
E01005785 : Stockport 030D,"1,673",931,500,184,45,13
E01005786 : Stockport 030E,"1,848","1,077",561,164,33,13
E01005834 : Stockport 031A,"1,542",720,510,196,89,27
E01005836 : Stockport 031B,"1,833",825,616,279,91,22
E01005838 : Stockport 031C,"1,780",795,673,229,66,17
E01005840 : Stockport 031D,"1,602",756,592,164,77,13
E01005927 : Stockport 032A,"1,304",714,421,130,30,9
E01005928 : Stockport 032B,"1,618",773,530,212,81,22
E01005929 : Stockport 032C,"1,420",760,498,123,34,5
E01005930 : Stockport 032D,"1,676",971,437,182,57,29
E01005806 : Stockport 033A,"1,187",597,402,143,35,10
E01005813 : Stockport 033B,"1,365",647,506,179,26,7
E01005814 : Stockport 033C,"1,296",633,451,153,49,10
E01005815 : Stockport 033D,"1,437",810,457,129,32,9
E01005777 : Stockport 034A,"1,559",724,498,237,68,32
E01005787 : Stockport 034B,"1,331",809,397,103,15,7
E01005788 : Stockport 034C,"1,565",944,424,148,42,7
E01005790 : Stockport 034D,"1,221",627,360,143,68,23
E01005805 : Stockport 035A,"1,540",820,496,157,52,15
E01005807 : Stockport 035B,"1,550",812,503,185,28,22
E01005839 : Stockport 035C,"1,296",687,413,149,43,4
E01005841 : Stockport 035D,"1,478",755,459,192,53,19
E01005844 : Stockport 036A,"1,548",757,515,198,59,19
E01005845 : Stockport 036B,"1,659",823,546,208,69,13
E01005849 : Stockport 036C,"1,652",865,537,181,49,20
E01005851 : Stockport 036D,"1,622",781,572,210,45,14
E01005808 : Stockport 037A,"1,374",819,389,133,25,8
E01005809 : Stockport 037B,"1,223",632,429,121,31,10
E01005810 : Stockport 037C,"1,560",805,471,180,78,26
E01005811 : Stockport 037D,"1,302",652,453,154,35,8
E01005812 : Stockport 037E,"1,208",720,339,110,31,8
E01005842 : Stockport 038A,"1,580",741,564,202,56,17
E01005906 : Stockport 038B,"1,435",599,526,228,67,15
E01005907 : Stockport 038C,"1,345",591,494,209,43,8
E01005913 : Stockport 038D,"1,417",693,468,195,43,18
E01005789 : Stockport 039A,"1,670",937,491,183,47,12
E01005791 : Stockport 039B,"1,570",861,463,185,46,15
E01005793 : Stockport 039C,"1,526",780,508,172,52,14
E01005795 : Stockport 039D,"1,365",773,438,128,23,3
E01005796 : Stockport 039E,"1,247",729,377,114,24,3
E01005846 : Stockport 040A,"1,714",934,542,169,52,17
E01005847 : Stockport 040B,"1,578",814,492,193,62,17
E01005848 : Stockport 040C,"2,083","1,130",679,202,60,12
E01005850 : Stockport 040D,"1,806",833,594,253,96,30
E01005792 : Stockport 041A,"1,531",891,452,142,35,11
E01005794 : Stockport 041B,"1,269",678,415,137,31,8
E01005923 : Stockport 041C,"1,499",864,460,125,40,10
E01005931 : Stockport 041D,"1,394",742,427,171,42,12
E01005924 : Stockport 042A,"1,303",714,403,144,33,9
E01005925 : Stockport 042B,"1,433",741,440,181,53,18
E01005926 : Stockport 042C,"2,242","1,444",590,179,21,8
E01005932 : Stockport 042D,"1,277",700,416,134,19,8
E01006053 : Tameside 001A,"1,948","1,004",686,192,44,22
E01006054 : Tameside 001B,"1,807",819,559,263,140,26
E01006055 : Tameside 001C,"1,504",749,535,165,41,14
E01006057 : Tameside 001D,"1,529",752,533,183,50,11
E01006058 : Tameside 001E,"2,074",976,720,266,89,23
E01006059 : Tameside 001F,"1,447",690,519,180,46,12
E01005938 : Tameside 002A,"1,566",745,498,215,85,23
E01005939 : Tameside 002B,"1,271",562,444,197,51,17
E01005940 : Tameside 002C,"1,400",574,509,221,78,18
E01005955 : Tameside 002D,"1,636",770,581,208,59,18
E01006056 : Tameside 003A,"1,248",566,384,185,87,26
E01006061 : Tameside 003B,"2,481","1,225",783,321,117,35
E01006062 : Tameside 003C,"1,987","1,014",689,210,62,12
E01006063 : Tameside 003D,"1,383",656,475,196,42,14
E01005936 : Tameside 004A,"1,514",703,548,188,60,15
E01005937 : Tameside 004B,"1,704",813,565,233,81,12
E01005945 : Tameside 004C,"2,043",969,633,310,104,27
E01005946 : Tameside 004D,"1,587",731,554,198,79,25
E01005947 : Tameside 004E,"1,842",825,594,283,107,33
E01005954 : Tameside 005A,"1,496",537,501,291,133,34
E01005956 : Tameside 005B,"1,378",532,479,255,88,24
E01005957 : Tameside 005C,"1,561",711,525,240,57,28
E01005958 : Tameside 005D,"1,607",699,497,252,130,29
E01005959 : Tameside 005E,"1,952",890,627,263,109,63
E01005933 : Tameside 006A,"1,574",755,504,190,102,23
E01005934 : Tameside 006B,"1,507",686,515,213,73,20
E01005935 : Tameside 006C,"1,467",602,464,241,112,48
E01005949 : Tameside 006D,"1,651",689,581,261,79,41
E01005960 : Tameside 006E,"1,746",784,536,282,115,29
E01005941 : Tameside 007A,"1,888",762,651,293,146,36
E01005942 : Tameside 007B,"1,664",775,586,221,63,19
E01005943 : Tameside 007C,"1,816",814,605,277,96,24
E01005944 : Tameside 007D,"1,853","1,017",582,186,60,8
E01006060 : Tameside 008A,"1,510",636,525,227,99,23
E01006064 : Tameside 008B,"1,731",651,570,326,134,50
E01006065 : Tameside 008C,"1,460",683,492,191,71,23
E01006066 : Tameside 008D,"1,416",613,483,228,78,14
E01006067 : Tameside 009A,"1,879",957,672,195,43,12
E01006068 : Tameside 009B,"1,558",650,511,256,109,32
E01006069 : Tameside 009C,"1,740",788,590,254,93,15
E01006073 : Tameside 009D,"2,044","1,036",616,272,90,30
E01005993 : Tameside 010A,"1,350",614,436,221,63,16
E01005995 : Tameside 010B,"1,371",692,475,154,35,15
E01005996 : Tameside 010C,"1,948",940,673,235,78,22
E01005997 : Tameside 010D,"1,536",698,492,245,77,24
E01006000 : Tameside 010E,"1,787",671,634,321,122,39
E01005994 : Tameside 011A,"1,507",715,474,211,82,25
E01005999 : Tameside 011B,"2,188","1,011",727,313,98,39
E01006002 : Tameside 011C,"1,369",585,494,189,78,23
E01006004 : Tameside 011D,"1,525",697,516,229,72,11
E01006005 : Tameside 011E,"1,394",589,428,248,92,37
E01006007 : Tameside 011F,"1,553",728,513,208,83,21
E01005998 : Tameside 012A,"1,881",892,639,241,93,16
E01006001 : Tameside 012B,"1,546",732,501,232,52,29
E01006003 : Tameside 012C,"1,530",656,544,235,75,20
E01006006 : Tameside 012D,"1,427",623,507,207,73,17
E01005948 : Tameside 013A,"2,316",976,776,374,143,47
E01005950 : Tameside 013B,"2,174","1,142",675,249,81,27
E01005951 : Tameside 013C,"1,860",899,614,241,87,19
E01005953 : Tameside 013E,"2,297","1,020",739,346,150,42
E01033949 : Tameside 013F,"1,189",485,330,224,114,36
E01033950 : Tameside 013G,"1,371",498,498,225,112,38
E01005961 : Tameside 014A,"2,962","1,705",902,254,81,20
E01005962 : Tameside 014B,"1,419",680,483,175,68,13
E01005968 : Tameside 014C,"1,375",637,473,198,46,21
E01005969 : Tameside 014D,"1,299",571,466,194,55,13
E01006022 : Tameside 015A,"1,936",860,639,312,92,33
E01006023 : Tameside 015B,"1,578",614,498,254,163,49
E01006070 : Tameside 015C,"1,398",708,476,161,43,10
E01006071 : Tameside 015D,"1,710",866,588,186,51,19
E01006072 : Tameside 015E,"1,615",862,519,185,36,13
E01006009 : Tameside 016A,"1,326",592,464,195,57,18
E01006017 : Tameside 016B,"1,398",704,470,172,38,14
E01006018 : Tameside 016C,"1,318",570,487,189,50,22
E01006021 : Tameside 016D,"1,366",606,500,198,50,12
E01006008 : Tameside 017A,"1,386",621,504,193,59,9
E01006010 : Tameside 017B,"1,403",558,470,236,105,34
E01006012 : Tameside 017C,"1,963",891,685,282,86,19
E01006015 : Tameside 017D,"1,347",727,399,165,42,14
E01006016 : Tameside 017E,"1,944",723,686,359,136,40
E01006011 : Tameside 018A,"1,709",690,538,299,139,43
E01006013 : Tameside 018B,"1,307",603,424,189,71,20
E01006014 : Tameside 018C,"1,282",600,448,168,52,14
E01006019 : Tameside 018D,"1,505",496,484,327,148,50
E01006020 : Tameside 018E,"1,637",733,550,254,79,21
E01005963 : Tameside 019A,"1,162",544,411,154,44,9
E01005964 : Tameside 019B,"1,523",740,500,219,54,10
E01005965 : Tameside 019C,"1,733",786,560,262,89,36
E01005966 : Tameside 019D,"1,578",781,536,181,61,19
E01005967 : Tameside 019E,"1,424",548,476,245,116,39
E01006031 : Tameside 020A,"2,253","1,061",747,286,123,36
E01006032 : Tameside 020B,"1,524",655,516,239,96,18
E01006033 : Tameside 020C,"1,768",795,587,275,81,30
E01006034 : Tameside 020D,"2,133",956,724,295,125,33
E01006035 : Tameside 020E,"2,146",952,741,312,120,21
E01006036 : Tameside 020F,"2,152",985,696,317,118,36
E01005970 : Tameside 021A,"1,413",629,478,224,64,18
E01005972 : Tameside 021B,"1,720",789,557,274,74,26
E01005974 : Tameside 021C,"1,693",721,576,261,103,32
E01005975 : Tameside 021D,"1,547",681,545,225,79,17
E01006024 : Tameside 022A,"1,764",926,594,177,50,17
E01006026 : Tameside 022B,"1,525",651,524,258,60,32
E01006037 : Tameside 022C,"1,601",761,589,182,53,16
E01006038 : Tameside 022D,"1,586",680,570,240,83,13
E01006047 : Tameside 023A,"1,326",601,470,177,63,15
E01006048 : Tameside 023B,"1,596",717,519,281,64,15
E01006049 : Tameside 023C,"1,548",648,585,213,82,20
E01006051 : Tameside 023D,"1,628",780,575,188,69,16
E01005985 : Tameside 024A,"1,554",729,533,211,64,17
E01005987 : Tameside 024B,"1,518",680,528,212,83,15
E01005988 : Tameside 024C,"1,600",812,557,184,32,15
E01005990 : Tameside 024D,"1,373",603,473,224,59,14
E01005991 : Tameside 024E,"1,496",710,545,172,53,16
E01005971 : Tameside 025A,"1,354",565,497,187,80,25
E01005986 : Tameside 025B,"1,244",593,403,173,59,16
E01005989 : Tameside 025C,"1,206",576,433,135,50,12
E01005992 : Tameside 025D,"1,208",476,403,201,98,30
E01005973 : Tameside 026A,"1,367",607,482,200,68,10
E01005976 : Tameside 026B,"1,483",633,511,220,90,29
E01005977 : Tameside 026C,"1,450",587,547,212,83,21
E01005978 : Tameside 026D,"1,336",538,482,215,82,19
E01006025 : Tameside 027A,"1,919",898,582,282,109,48
E01006027 : Tameside 027B,"2,343","1,099",758,312,133,41
E01006050 : Tameside 027C,"1,842",861,580,245,128,28
E01006052 : Tameside 027D,"1,580",722,428,273,119,38
E01006028 : Tameside 028A,"1,776",648,586,338,148,56
E01006029 : Tameside 028B,"1,933",900,674,237,91,31
E01006030 : Tameside 028C,"1,868",810,618,305,114,21
E01006039 : Tameside 028D,"1,355",584,463,221,67,20
E01006040 : Tameside 028E,"1,891",799,669,291,87,45
E01006041 : Tameside 028F,"1,721",758,630,241,75,17
E01005979 : Tameside 029A,"1,588",654,538,254,118,24
E01005980 : Tameside 029B,"1,450",590,472,251,96,41
E01005981 : Tameside 029C,"1,648",656,525,309,117,41
E01005982 : Tameside 029D,"1,326",546,476,202,80,22
E01005983 : Tameside 029E,"1,507",637,549,243,67,11
E01005984 : Tameside 029F,"1,604",652,531,289,101,31
E01006042 : Tameside 030A,"1,701",859,560,205,67,10
E01006043 : Tameside 030B,"1,438",610,534,204,72,18
E01006044 : Tameside 030C,"1,523",705,478,233,80,27
E01006045 : Tameside 030D,"1,253",627,445,139,35,7
E01006046 : Tameside 030E,"1,528",712,567,190,39,20
E01006109 : Trafford 001A,"1,152",499,338,212,74,29
E01006110 : Trafford 001B,"1,877",958,617,203,71,28
E01006111 : Trafford 001C,"1,776",948,527,198,72,31
E01006112 : Trafford 001D,"2,049",979,616,263,148,43
E01006188 : Trafford 001F,"1,990","1,029",652,213,83,13
E01034000 : Trafford 001G,"1,237",686,397,105,36,13
E01034001 : Trafford 001H,"1,647",782,513,242,75,35
E01006116 : Trafford 002A,"1,327",720,416,147,37,7
E01006117 : Trafford 002B,"1,704",923,564,162,40,15
E01006118 : Trafford 002C,"1,461",653,477,227,77,27
E01006119 : Trafford 002D,"1,640",885,524,172,50,9
E01006121 : Trafford 002E,"1,451",688,467,218,56,22
E01006141 : Trafford 003A,"1,792",957,541,210,67,17
E01006186 : Trafford 003B,"2,160","1,093",746,210,87,24
E01006187 : Trafford 003C,"2,598","1,276",911,288,98,25
E01006189 : Trafford 003D,"2,328","1,145",767,296,83,37
E01006113 : Trafford 004A,"1,621",803,535,192,76,15
E01006114 : Trafford 004B,"1,694",756,568,250,99,21
E01006115 : Trafford 004C,"1,518",721,524,183,72,18
E01006145 : Trafford 004D,"2,051","1,005",641,277,109,19
E01006146 : Trafford 004E,"1,793",913,590,216,55,19
E01006122 : Trafford 005A,"1,785",898,598,208,70,11
E01006123 : Trafford 005B,"1,669",854,519,203,62,31
E01006124 : Trafford 005C,"1,479",796,453,179,37,14
E01006128 : Trafford 005D,"1,930","1,001",582,216,90,41
E01006131 : Trafford 005E,"1,532",834,467,170,46,15
E01006155 : Trafford 006A,"1,746",929,594,170,37,16
E01006157 : Trafford 006B,"1,701",916,519,205,48,13
E01006159 : Trafford 006C,"1,875",891,618,245,95,26
E01006182 : Trafford 006D,"1,606",842,554,156,48,6
E01006183 : Trafford 006E,"1,724",874,556,212,61,21
E01006125 : Trafford 007A,"1,511",733,495,210,57,16
E01006126 : Trafford 007B,"1,838",829,595,275,108,31
E01006127 : Trafford 007C,"1,545",752,531,188,63,11
E01006130 : Trafford 007D,"1,759",929,571,190,49,20
E01006132 : Trafford 007E,"1,539",801,462,188,64,24
E01006156 : Trafford 008A,"1,674",807,551,229,60,27
E01006158 : Trafford 008B,"1,749",817,586,238,87,21
E01006179 : Trafford 008C,"1,803",823,569,290,92,29
E01006184 : Trafford 008D,"1,698",798,561,225,97,17
E01006198 : Trafford 009A,"1,462",665,487,219,72,19
E01006199 : Trafford 009B,"1,537",700,503,227,90,17
E01006200 : Trafford 009C,"1,481",644,443,245,111,38
E01006201 : Trafford 009D,"1,464",755,441,188,63,17
E01006202 : Trafford 009E,"1,299",662,425,156,45,11
E01006120 : Trafford 010A,"1,430",777,436,148,57,12
E01006129 : Trafford 010B,"1,387",615,455,223,73,21
E01006133 : Trafford 010C,"1,416",617,525,192,67,15
E01006197 : Trafford 010D,"1,478",794,479,151,39,15
E01006203 : Trafford 010E,"1,332",733,432,137,20,10
E01006142 : Trafford 011A,"1,716",810,560,236,87,23
E01006143 : Trafford 011B,"1,668",876,531,203,47,11
E01006144 : Trafford 011C,"1,388",630,435,196,100,27
E01006180 : Trafford 011D,"1,840",962,621,193,51,13
E01006181 : Trafford 011E,"1,746",911,525,218,72,20
E01006147 : Trafford 012A,"1,443",872,422,122,20,7
E01006149 : Trafford 012B,"1,578",858,430,183,81,26
E01006150 : Trafford 012C,"1,919","1,025",585,213,70,26
