2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01006355 : Wigan 014C,"1,474",262,113,149,"1,212",115,"1,097",17.77 ,7.80 ,74.42 
E01006358 : Wigan 014D,"2,133",496,247,249,"1,637",121,"1,516",23.25 ,5.67 ,71.07 
E01006359 : Wigan 014E,"1,384",309,142,167,"1,075",83,992,22.33 ,6.00 ,71.68 
E01006349 : Wigan 015A,"2,038",350,153,197,"1,688",138,"1,550",17.17 ,6.77 ,76.05 
E01006352 : Wigan 015B,"2,036",436,201,235,"1,600",137,"1,463",21.41 ,6.73 ,71.86 
E01006404 : Wigan 015C,"1,779",355,166,189,"1,424",125,"1,299",19.96 ,7.03 ,73.02 
E01006405 : Wigan 015D,"1,745",408,193,215,"1,337",119,"1,218",23.38 ,6.82 ,69.80 
E01006411 : Wigan 015E,"1,434",404,210,194,"1,030",79,951,28.17 ,5.51 ,66.32 
E01006270 : Wigan 016A,"1,446",433,228,205,"1,013",100,913,29.94 ,6.92 ,63.14 
E01006274 : Wigan 016B,"1,531",349,161,188,"1,182",105,"1,077",22.80 ,6.86 ,70.35 
E01006275 : Wigan 016C,"1,571",428,231,197,"1,143",97,"1,046",27.24 ,6.17 ,66.58 
E01006277 : Wigan 016D,"1,877",224,87,137,"1,653",149,"1,504",11.93 ,7.94 ,80.13 
E01006286 : Wigan 016E,"1,561",369,177,192,"1,192",119,"1,073",23.64 ,7.62 ,68.74 
E01006239 : Wigan 017A,"2,085",602,323,279,"1,483",94,"1,389",28.87 ,4.51 ,66.62 
E01006240 : Wigan 017B,"1,576",399,204,195,"1,177",80,"1,097",25.32 ,5.08 ,69.61 
E01006241 : Wigan 017C,"2,538",469,203,266,"2,069",152,"1,917",18.48 ,5.99 ,75.53 
E01006287 : Wigan 017D,"1,145",179,68,111,966,97,869,15.63 ,8.47 ,75.90 
E01006289 : Wigan 017E,"1,689",455,249,206,"1,234",112,"1,122",26.94 ,6.63 ,66.43 
E01006362 : Wigan 018A,"1,634",270,97,173,"1,364",127,"1,237",16.52 ,7.77 ,75.70 
E01006363 : Wigan 018B,"1,516",300,130,170,"1,216",130,"1,086",19.79 ,8.58 ,71.64 
E01006364 : Wigan 018C,"1,831",358,163,195,"1,473",124,"1,349",19.55 ,6.77 ,73.68 
E01006365 : Wigan 018D,"2,266",307,96,211,"1,959",147,"1,812",13.55 ,6.49 ,79.96 
E01006366 : Wigan 018E,"1,850",391,194,197,"1,459",153,"1,306",21.14 ,8.27 ,70.59 
E01006367 : Wigan 018F,"1,783",281,106,175,"1,502",132,"1,370",15.76 ,7.40 ,76.84 
E01006368 : Wigan 018G,"1,884",306,123,183,"1,578",164,"1,414",16.24 ,8.70 ,75.05 
E01006278 : Wigan 019A,"1,634",390,173,217,"1,244",115,"1,129",23.87 ,7.04 ,69.09 
E01006279 : Wigan 019B,"1,577",246,99,147,"1,331",107,"1,224",15.60 ,6.79 ,77.62 
E01006280 : Wigan 019C,"1,454",409,195,214,"1,045",85,960,28.13 ,5.85 ,66.02 
E01006281 : Wigan 019D,"1,937",326,118,208,"1,611",145,"1,466",16.83 ,7.49 ,75.68 
E01006285 : Wigan 019E,"1,917",354,158,196,"1,563",135,"1,428",18.47 ,7.04 ,74.49 
E01006406 : Wigan 020A,"1,377",299,139,160,"1,078",83,995,21.71 ,6.03 ,72.26 
E01006407 : Wigan 020B,"1,453",243,118,125,"1,210",117,"1,093",16.72 ,8.05 ,75.22 
E01006408 : Wigan 020C,"1,746",357,190,167,"1,389",103,"1,286",20.45 ,5.90 ,73.65 
E01006409 : Wigan 020D,"1,298",283,119,164,"1,015",95,920,21.80 ,7.32 ,70.88 
E01006410 : Wigan 020E,"1,270",253,99,154,"1,017",80,937,19.92 ,6.30 ,73.78 
E01006393 : Wigan 021A,"1,381",210,93,117,"1,171",111,"1,060",15.21 ,8.04 ,76.76 
E01006394 : Wigan 021B,"1,540",266,121,145,"1,274",102,"1,172",17.27 ,6.62 ,76.10 
E01006395 : Wigan 021C,"2,629",292,104,188,"2,337",207,"2,130",11.11 ,7.87 ,81.02 
E01006400 : Wigan 021D,"1,995",235,107,128,"1,760",125,"1,635",11.78 ,6.27 ,81.95 
E01006401 : Wigan 021E,"1,354",230,96,134,"1,124",95,"1,029",16.99 ,7.02 ,76.00 
E01006402 : Wigan 021F,"1,129",200,86,114,929,80,849,17.71 ,7.09 ,75.20 
E01006403 : Wigan 021G,"1,626",276,119,157,"1,350",136,"1,214",16.97 ,8.36 ,74.66 
E01006290 : Wigan 022A,"1,389",266,108,158,"1,123",106,"1,017",19.15 ,7.63 ,73.22 
E01006291 : Wigan 022B,"1,461",300,127,173,"1,161",126,"1,035",20.53 ,8.62 ,70.84 
E01006292 : Wigan 022C,"1,500",320,155,165,"1,180",117,"1,063",21.33 ,7.80 ,70.87 
E01006293 : Wigan 022D,"1,618",373,191,182,"1,245",126,"1,119",23.05 ,7.79 ,69.16 
E01006242 : Wigan 023A,"1,928",391,165,226,"1,537",147,"1,390",20.28 ,7.62 ,72.10 
E01006243 : Wigan 023B,"2,120",322,138,184,"1,798",139,"1,659",15.19 ,6.56 ,78.25 
E01006244 : Wigan 023C,"1,676",475,254,221,"1,201",114,"1,087",28.34 ,6.80 ,64.86 
E01006245 : Wigan 023D,"2,628",375,155,220,"2,253",187,"2,066",14.27 ,7.12 ,78.61 
E01006213 : Wigan 024A,"1,522",375,183,192,"1,147",81,"1,066",24.64 ,5.32 ,70.04 
E01006215 : Wigan 024B,"1,713",498,274,224,"1,215",98,"1,117",29.07 ,5.72 ,65.21 
E01006217 : Wigan 024C,"2,377",466,241,225,"1,911",147,"1,764",19.60 ,6.18 ,74.21 
E01006218 : Wigan 024D,"2,432",451,202,249,"1,981",153,"1,828",18.54 ,6.29 ,75.16 
E01006219 : Wigan 024E,"1,184",265,118,147,919,77,842,22.38 ,6.50 ,71.11 
E01006288 : Wigan 025A,"1,824",435,229,206,"1,389",102,"1,287",23.85 ,5.59 ,70.56 
E01006294 : Wigan 025B,"1,940",321,135,186,"1,619",163,"1,456",16.55 ,8.40 ,75.05 
E01006295 : Wigan 025C,"1,566",369,177,192,"1,197",112,"1,085",23.56 ,7.15 ,69.28 
E01006377 : Wigan 025D,"1,557",269,117,152,"1,288",130,"1,158",17.28 ,8.35 ,74.37 
E01006378 : Wigan 025E,"1,303",244,113,131,"1,059",103,956,18.73 ,7.90 ,73.37 
E01006212 : Wigan 026A,"1,392",257,128,129,"1,135",122,"1,013",18.46 ,8.76 ,72.77 
E01006214 : Wigan 026B,"1,379",289,142,147,"1,090",94,996,20.96 ,6.82 ,72.23 
E01006216 : Wigan 026C,"2,190",375,145,230,"1,815",154,"1,661",17.12 ,7.03 ,75.84 
E01006322 : Wigan 026D,"2,089",422,191,231,"1,667",152,"1,515",20.20 ,7.28 ,72.52 
E01006329 : Wigan 026E,"1,637",472,206,266,"1,165",106,"1,059",28.83 ,6.48 ,64.69 
E01006282 : Wigan 027A,"1,854",396,200,196,"1,458",123,"1,335",21.36 ,6.63 ,72.01 
E01006283 : Wigan 027B,"1,584",368,180,188,"1,216",92,"1,124",23.23 ,5.81 ,70.96 
E01006284 : Wigan 027C,"1,577",422,220,202,"1,155",86,"1,069",26.76 ,5.45 ,67.79 
E01006336 : Wigan 027D,"1,656",496,262,234,"1,160",94,"1,066",29.95 ,5.68 ,64.37 
E01006337 : Wigan 027E,"1,496",277,128,149,"1,219",92,"1,127",18.52 ,6.15 ,75.33 
E01006376 : Wigan 028A,"1,770",373,179,194,"1,397",131,"1,266",21.07 ,7.40 ,71.53 
E01006381 : Wigan 028B,"2,051",214,82,132,"1,837",160,"1,677",10.43 ,7.80 ,81.76 
E01006382 : Wigan 028C,"1,258",182,69,113,"1,076",113,963,14.47 ,8.98 ,76.55 
E01006383 : Wigan 028D,"1,609",241,113,128,"1,368",116,"1,252",14.98 ,7.21 ,77.81 
E01006384 : Wigan 028E,"1,320",189,61,128,"1,131",114,"1,017",14.32 ,8.64 ,77.05 
E01006250 : Wigan 029A,"2,139",285,105,180,"1,854",160,"1,694",13.32 ,7.48 ,79.20 
E01006251 : Wigan 029B,"1,546",241,81,160,"1,305",121,"1,184",15.59 ,7.83 ,76.58 
E01006379 : Wigan 029C,"1,581",270,101,169,"1,311",129,"1,182",17.08 ,8.16 ,74.76 
E01006380 : Wigan 029D,"2,731",463,215,248,"2,268",158,"2,110",16.95 ,5.79 ,77.26 
E01006385 : Wigan 029E,"1,445",245,118,127,"1,200",99,"1,101",16.96 ,6.85 ,76.19 
E01006328 : Wigan 030A,"1,526",297,134,163,"1,229",75,"1,154",19.46 ,4.91 ,75.62 
E01006333 : Wigan 030B,"2,088",396,154,242,"1,692",152,"1,540",18.97 ,7.28 ,73.75 
E01006334 : Wigan 030C,"2,078",394,166,228,"1,684",119,"1,565",18.96 ,5.73 ,75.31 
E01006338 : Wigan 030D,"1,668",315,135,180,"1,353",120,"1,233",18.88 ,7.19 ,73.92 
E01006248 : Wigan 031A,"2,280",502,256,246,"1,778",134,"1,644",22.02 ,5.88 ,72.11 
E01006249 : Wigan 031B,"1,656",371,181,190,"1,285",95,"1,190",22.40 ,5.74 ,71.86 
E01006330 : Wigan 031C,"1,538",288,109,179,"1,250",112,"1,138",18.73 ,7.28 ,73.99 
E01006331 : Wigan 031D,"1,516",206,90,116,"1,310",109,"1,201",13.59 ,7.19 ,79.22 
E01006332 : Wigan 031E,"2,016",489,275,214,"1,527",143,"1,384",24.26 ,7.09 ,68.65 
E01006262 : Wigan 032A,"1,712",360,162,198,"1,352",109,"1,243",21.03 ,6.37 ,72.61 
E01006263 : Wigan 032B,"1,490",273,135,138,"1,217",109,"1,108",18.32 ,7.32 ,74.36 
E01006266 : Wigan 032C,"1,373",292,122,170,"1,081",125,956,21.27 ,9.10 ,69.63 
E01006267 : Wigan 032D,"1,620",446,228,218,"1,174",94,"1,080",27.53 ,5.80 ,66.67 
E01006268 : Wigan 032E,"1,637",292,136,156,"1,345",134,"1,211",17.84 ,8.19 ,73.98 
E01006323 : Wigan 033A,"1,552",364,191,173,"1,188",82,"1,106",23.45 ,5.28 ,71.26 
E01006324 : Wigan 033B,"1,291",345,177,168,946,86,860,26.72 ,6.66 ,66.62 
E01006325 : Wigan 033C,"1,505",319,160,159,"1,186",109,"1,077",21.20 ,7.24 ,71.56 
E01006326 : Wigan 033D,"1,411",291,120,171,"1,120",84,"1,036",20.62 ,5.95 ,73.42 
E01006327 : Wigan 033E,"2,560",561,293,268,"1,999",152,"1,847",21.91 ,5.94 ,72.15 
E01006246 : Wigan 034A,"1,535",351,155,196,"1,184",92,"1,092",22.87 ,5.99 ,71.14 
E01006247 : Wigan 034B,"1,279",217,75,142,"1,062",95,967,16.97 ,7.43 ,75.61 
E01006252 : Wigan 034C,"1,398",239,88,151,"1,159",100,"1,059",17.10 ,7.15 ,75.75 
E01006297 : Wigan 034D,"1,595",449,235,214,"1,146",85,"1,061",28.15 ,5.33 ,66.52 
E01006335 : Wigan 034E,"1,578",340,146,194,"1,238",120,"1,118",21.55 ,7.60 ,70.85 
E01006220 : Wigan 035A,"1,741",428,242,186,"1,313",118,"1,195",24.58 ,6.78 ,68.64 
E01006221 : Wigan 035B,"1,558",309,124,185,"1,249",116,"1,133",19.83 ,7.45 ,72.72 
E01006222 : Wigan 035C,"1,556",272,114,158,"1,284",118,"1,166",17.48 ,7.58 ,74.94 
E01006224 : Wigan 035D,"1,431",173,70,103,"1,258",89,"1,169",12.09 ,6.22 ,81.69 
E01006226 : Wigan 035E,"1,714",301,141,160,"1,413",140,"1,273",17.56 ,8.17 ,74.27 
E01006223 : Wigan 036A,"1,586",330,163,167,"1,256",111,"1,145",20.81 ,7.00 ,72.19 
E01006225 : Wigan 036B,"1,507",259,121,138,"1,248",94,"1,154",17.19 ,6.24 ,76.58 
E01006261 : Wigan 036C,"1,487",399,215,184,"1,088",100,988,26.83 ,6.72 ,66.44 
E01006264 : Wigan 036D,"1,230",208,97,111,"1,022",105,917,16.91 ,8.54 ,74.55 
E01006265 : Wigan 036E,"1,396",290,124,166,"1,106",100,"1,006",20.77 ,7.16 ,72.06 
E01006296 : Wigan 037A,"1,503",405,205,200,"1,098",85,"1,013",26.95 ,5.66 ,67.40 
E01006298 : Wigan 037B,"1,423",362,169,193,"1,061",80,981,25.44 ,5.62 ,68.94 
E01006299 : Wigan 037C,"1,936",291,112,179,"1,645",143,"1,502",15.03 ,7.39 ,77.58 
E01006300 : Wigan 037D,"1,360",233,94,139,"1,127",112,"1,015",17.13 ,8.24 ,74.63 
E01006301 : Wigan 037E,"1,485",232,93,139,"1,253",128,"1,125",15.62 ,8.62 ,75.76 
E01006227 : Wigan 038A,"1,579",285,124,161,"1,294",110,"1,184",18.05 ,6.97 ,74.98 
E01006228 : Wigan 038B,"1,628",305,117,188,"1,323",104,"1,219",18.73 ,6.39 ,74.88 
E01006342 : Wigan 038C,"1,557",361,188,173,"1,196",104,"1,092",23.19 ,6.68 ,70.13 
E01006344 : Wigan 038D,"1,441",418,206,212,"1,023",79,944,29.01 ,5.48 ,65.51 
E01006346 : Wigan 038E,"2,062",377,157,220,"1,685",138,"1,547",18.28 ,6.69 ,75.02 
E01006339 : Wigan 039A,"1,254",244,104,140,"1,010",108,902,19.46 ,8.61 ,71.93 
E01006340 : Wigan 039B,"1,888",382,193,189,"1,506",112,"1,394",20.23 ,5.93 ,73.83 
E01006343 : Wigan 039C,"1,612",208,73,135,"1,404",141,"1,263",12.90 ,8.75 ,78.35 
E01006345 : Wigan 039D,"1,559",319,121,198,"1,240",144,"1,096",20.46 ,9.24 ,70.30 
E01006348 : Wigan 039E,"2,641",392,171,221,"2,249",194,"2,055",14.84 ,7.35 ,77.81 
E01006302 : Wigan 040A,"1,834",282,118,164,"1,552",123,"1,429",15.38 ,6.71 ,77.92 
E01006303 : Wigan 040B,"1,624",286,109,177,"1,338",124,"1,214",17.61 ,7.64 ,74.75 
E01006304 : Wigan 040C,"1,520",308,151,157,"1,212",107,"1,105",20.26 ,7.04 ,72.70 
E01006341 : Wigan 040D,"1,662",411,181,230,"1,251",128,"1,123",24.73 ,7.70 ,67.57 
E01006347 : Wigan 040E,"1,518",277,95,182,"1,241",121,"1,120",18.25 ,7.97 ,73.78 
